t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
4164,0.2245,-0.0604,0.8848,-6.06,7.69,0.15,22.72
4215,0.2194,-0.0631,0.8833,-5.92,8.78,0.12,22.73
4225,0.2214,-0.0658,0.8853,-5.91,8.24,0.0,22.72
4235,0.2194,-0.0553,0.8871,-5.92,7.4,-0.06,22.72
4245,0.2289,-0.054,0.8821,-6.17,6.82,-0.06,22.72
4255,0.2273,-0.0503,0.8788,-6.14,7.21,-0.05,22.75
4265,0.2278,-0.0551,0.8804,-6.11,8.09,0.08,22.73
4275,0.2239,-0.0565,0.8801,-5.97,8.67,0.08,22.73
4285,0.2179,-0.0593,0.8885,-5.88,8.49,0.17,22.72
4295,0.2192,-0.0569,0.8853,-5.86,7.71,0.14,22.73
4305,0.2218,-0.0525,0.8839,-5.74,7.6,0.24,22.72
4315,0.2118,-0.0498,0.8834,-5.85,8.14,0.35,22.71
4325,0.2117,-0.031,0.884,-5.63,8.02,0.37,22.71
4335,0.2183,-0.0289,0.8842,-5.82,6.81,0.46,22.72
4345,0.2106,-0.0406,0.8887,-6.43,7.28,0.58,22.69
4355,0.2236,-0.0624,0.8817,-6.98,8.64,0.49,22.71
4365,0.2305,-0.0734,0.8651,-6.72,9.1,0.49,22.72
4375,0.2222,-0.0729,0.8944,-5.85,7.89,0.4,22.72
4385,0.2106,-0.0648,0.9039,-5.83,6.78,0.29,22.72
4395,0.2224,-0.0677,0.8848,-6.31,6.17,0.06,22.72
4405,0.2332,-0.0745,0.8693,-6.44,6.55,0.03,22.73
4415,0.2307,-0.071,0.8663,-5.95,7.95,0.03,22.74
4425,0.2246,-0.0614,0.8785,-5.71,8.85,-0.02,22.72
4435,0.2206,-0.0596,0.894,-5.85,8.82,-0.05,22.74
4445,0.2161,-0.069,0.8884,-6.43,8.44,-0.05,22.75
4455,0.2192,-0.077,0.8824,-6.49,8.18,-0.15,22.71
4465,0.2252,-0.0756,0.875,-6.17,8.08,-0.21,22.72
4475,0.2234,-0.0691,0.8843,-5.88,8.02,-0.21,22.72
4485,0.2183,-0.061,0.8885,-5.88,7.65,-0.27,22.72
4495,0.2222,-0.0559,0.8864,-6.03,7.28,-0.41,22.72
4505,0.2249,-0.0546,0.879,-6.06,7.28,-0.29,22.74
4515,0.2247,-0.051,0.8796,-5.95,7.76,-0.27,22.74
4525,0.2229,-0.0475,0.884,-5.91,8.11,-0.18,22.72
4535,0.2211,-0.0459,0.8882,-6.0,8.14,-0.18,22.72
4545,0.218,-0.0424,0.8835,-6.12,7.95,-0.08,22.75
4555,0.2126,-0.0446,0.8837,-6.21,7.98,-0.11,22.76
4565,0.2136,-0.0448,0.884,-6.06,8.0,-0.11,22.72
4575,0.2152,-0.0455,0.8884,-6.05,7.82,0.02,22.74
4585,0.2202,-0.0442,0.8834,-6.12,7.54,0.02,22.75
4595,0.2277,-0.0477,0.8812,-6.18,7.39,0.0,22.74
4605,0.2253,-0.0531,0.884,-6.11,7.65,0.12,22.74
4615,0.2244,-0.0563,0.8838,-6.05,7.89,0.09,22.72
4625,0.2231,-0.0547,0.8853,-6.06,7.82,0.11,22.73
4635,0.2214,-0.0582,0.8807,-6.2,7.54,0.14,22.74
4645,0.2212,-0.0621,0.8846,-6.27,7.48,0.12,22.74
4655,0.2236,-0.0656,0.8773,-6.12,7.66,0.11,22.76
4665,0.2258,-0.0638,0.8865,-6.06,8.08,0.09,22.77
4675,0.2281,-0.0641,0.8811,-6.09,8.2,0.06,22.75
4685,0.2214,-0.0645,0.8822,-6.02,8.09,0.09,22.74
4695,0.2201,-0.0613,0.8835,-6.12,7.86,0.03,22.74
4705,0.2218,-0.0592,0.8802,-6.2,7.74,0.06,22.74
4715,0.2249,-0.0615,0.879,-6.15,7.76,-0.05,22.75
4725,0.2247,-0.0638,0.8834,-6.08,7.95,0.08,22.76
4735,0.2214,-0.063,0.8861,-6.03,7.95,0.02,22.74
4745,0.22,-0.0625,0.8853,-6.0,7.86,0.02,22.74
4755,0.2217,-0.0575,0.8855,-6.03,7.11,-0.05,22.75
4765,0.2205,-0.0554,0.8822,-6.14,6.98,-0.14,22.77
4775,0.2202,-0.0553,0.8813,-6.11,7.36,-0.18,22.77
4785,0.223,-0.0594,0.8739,-6.14,7.98,-0.17,22.77
4795,0.225,-0.0679,0.8843,-6.14,7.89,-0.06,22.76
4805,0.2311,-0.0554,0.8694,-5.79,8.47,-0.08,22.77
4815,0.2394,-0.0597,0.8867,-5.71,6.38,0.03,22.76
4825,0.2079,-0.0504,0.9032,-6.35,7.04,-0.03,22.76
4835,0.219,-0.0573,0.8793,-6.38,8.34,-0.14,22.77
4845,0.2273,-0.0653,0.8563,-6.09,7.47,-0.03,22.78
4855,0.205,-0.0582,0.8889,-5.76,8.69,-0.11,22.77
4865,0.2158,-0.0496,0.9052,-5.79,8.6,-0.21,22.77
4875,0.2378,-0.0391,0.8868,-6.03,6.0,-0.24,22.75
4885,0.243,-0.0493,0.8783,-6.55,5.48,-0.15,22.78
4895,0.2324,-0.0631,0.8647,-6.76,8.29,-0.14,22.78
4905,0.2258,-0.0535,0.8727,-5.85,10.05,-0.08,22.78
4915,0.2083,-0.052,0.8906,-5.63,9.37,-0.02,22.76
4925,0.217,-0.063,0.9006,-6.02,7.68,-0.02,22.78
4935,0.2198,-0.0665,0.8861,-6.76,7.21,-0.09,22.79
4945,0.2284,-0.0664,0.8734,-6.37,7.82,0.03,22.77
4955,0.2322,-0.0548,0.8754,-5.65,8.02,0.05,22.8
4965,0.2194,-0.0496,0.8879,-5.65,8.26,0.03,22.78
4975,0.2129,-0.0494,0.8901,-6.11,7.88,0.06,22.79
4985,0.2164,-0.0586,0.8796,-6.14,7.18,0.17,22.79
4995,0.2225,-0.058,0.8817,-6.11,6.75,0.15,22.78
5005,0.2169,-0.052,0.884,-6.0,6.84,0.09,22.8
5015,0.2239,-0.0522,0.8876,-6.02,6.63,0.05,22.78
5025,0.2258,-0.0553,0.8727,-6.31,6.7,0.02,22.78
5035,0.2275,-0.062,0.8738,-6.18,7.62,0.14,22.79
5045,0.219,-0.0608,0.8778,-5.88,8.52,0.14,22.77
5055,0.2157,-0.0511,0.8926,-5.59,8.03,0.14,22.78
5065,0.2169,-0.0535,0.8956,-5.95,6.75,0.0,22.77
5075,0.2217,-0.0566,0.8802,-6.52,6.96,-0.09,22.78
5085,0.2225,-0.0605,0.8678,-6.55,8.34,0.03,22.78
5095,0.2299,-0.0609,0.8761,-5.91,8.93,-0.03,22.79
5105,0.2249,-0.0544,0.8861,-5.74,8.27,-0.03,22.77
5115,0.2185,-0.0566,0.9004,-6.06,7.71,-0.09,22.77
5125,0.2266,-0.0607,0.8798,-6.5,7.21,-0.15,22.79
5135,0.23,-0.067,0.8718,-6.4,7.45,-0.18,22.8
5145,0.226,-0.0663,0.8752,-6.11,8.17,-0.12,22.79
5155,0.2198,-0.0621,0.8915,-5.85,8.84,-0.15,22.8
5166,0.2133,-0.0615,0.8915,-5.97,8.35,-0.32,22.81
5176,0.2217,-0.0618,0.879,-6.23,7.56,-0.31,22.8
5186,0.2255,-0.0636,0.8839,-6.24,7.47,-0.31,22.79
5196,0.2249,-0.0612,0.8772,-6.14,8.0,-0.27,22.79
5206,0.2241,-0.0597,0.8867,-6.02,8.44,-0.2,22.8
5216,0.2223,-0.059,0.8788,-6.06,8.15,-0.24,22.8
5226,0.2191,-0.0603,0.8842,-6.11,7.92,-0.23,22.8
5236,0.2129,-0.0546,0.8871,-6.02,7.65,-0.17,22.8
5246,0.2168,-0.0547,0.8855,-6.02,7.33,-0.18,22.82
5256,0.2201,-0.0536,0.8821,-6.11,6.92,-0.24,22.82
5267,0.2217,-0.0558,0.8802,-5.98,6.89,-0.18,22.84
5277,0.2263,-0.0548,0.8835,-6.06,7.3,-0.15,22.82
5287,0.225,-0.0547,0.8832,-6.12,7.48,-0.24,22.82
5297,0.2233,-0.0547,0.8861,-6.11,7.59,-0.14,22.81
5307,0.2206,-0.0541,0.8883,-6.05,7.28,-0.09,22.81
5317,0.2164,-0.0538,0.8817,-6.06,7.27,-0.14,22.79
5327,0.2227,-0.052,0.8828,-6.15,7.31,-0.06,22.82
5337,0.2208,-0.0562,0.8774,-6.08,7.69,-0.09,22.8
5347,0.2196,-0.0565,0.8811,-6.09,7.91,-0.03,22.82
5357,0.2214,-0.0555,0.8859,-6.05,7.74,-0.08,22.82
5367,0.2169,-0.0576,0.8876,-6.11,7.57,-0.06,22.83
5377,0.2203,-0.059,0.8828,-6.17,7.42,-0.14,22.82
5387,0.2225,-0.0601,0.8818,-6.15,7.5,-0.09,22.8
5397,0.2229,-0.0614,0.8855,-6.11,7.73,-0.08,22.82
5407,0.2257,-0.0603,0.8812,-6.11,7.77,-0.14,22.81
5417,0.2222,-0.0632,0.8833,-6.12,7.79,-0.14,22.8
5427,0.2233,-0.0619,0.8824,-6.08,7.74,-0.2,22.83
5437,0.2209,-0.0627,0.8827,-6.06,7.79,-0.14,22.82
5447,0.2275,-0.0642,0.8829,-6.11,7.51,-0.23,22.8
5457,0.2227,-0.0612,0.8831,-6.0,7.63,-0.21,22.81
5467,0.2195,-0.0651,0.8839,-6.14,7.65,-0.27,22.81
5477,0.2186,-0.0601,0.8867,-6.02,8.06,-0.17,22.81
5487,0.2262,-0.062,0.8798,-6.18,7.6,-0.23,22.8
5497,0.2251,-0.0575,0.8784,-5.95,7.68,-0.12,22.82
5507,0.2181,-0.0554,0.8887,-5.92,7.65,-0.23,22.82
5517,0.2179,-0.0531,0.8813,-5.95,8.38,-0.21,22.82
5527,0.2244,-0.0511,0.8826,-6.06,7.21,-0.32,22.83
5537,0.2242,-0.0527,0.8782,-6.09,7.05,-0.34,22.84
5547,0.2244,-0.0508,0.8861,-6.18,7.54,-0.27,22.84
5557,0.2172,-0.0537,0.8871,-6.14,8.44,-0.24,22.84
5567,0.2247,-0.0575,0.885,-6.03,8.26,-0.18,22.82
5577,0.2212,-0.0568,0.8826,-6.17,7.56,-0.31,22.84
5587,0.2213,-0.0574,0.8837,-6.14,7.82,-0.2,22.82
5597,0.2234,-0.063,0.8795,-6.17,7.8,-0.26,22.82
5607,0.2278,-0.0663,0.8839,-6.03,7.53,-0.29,22.84
5617,0.2139,-0.0542,0.8802,-6.05,7.33,-0.17,22.83
5627,0.2261,-0.0609,0.887,-6.08,7.69,-0.08,22.83
5637,0.2346,-0.0468,0.8518,-6.27,6.5,-0.12,22.81
5647,0.2437,-0.0605,0.8844,-5.95,7.19,-0.17,22.83
