t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
3274,0.2102,-0.0354,0.9153,-6.41,10.87,0.2,24.91
3285,0.2627,-0.0522,0.8701,-6.44,8.21,0.11,24.91
3295,0.2517,-0.0514,0.8738,-6.29,5.68,-0.08,24.93
3305,0.2079,-0.041,0.9037,-6.24,8.73,0.09,24.92
3315,0.2379,-0.0435,0.8733,-5.94,9.63,0.0,24.92
3325,0.2526,-0.0392,0.8525,-6.17,6.21,-0.09,24.92
3335,0.2266,-0.0356,0.8938,-6.26,6.32,-0.18,24.94
3345,0.2152,-0.0344,0.9235,-6.31,8.99,-0.17,24.93
3355,0.243,-0.046,0.9008,-6.47,9.73,-0.11,24.92
3365,0.2574,-0.0643,0.8495,-6.41,6.35,-0.08,24.94
3375,0.2051,-0.0669,0.8882,-6.2,7.56,-0.09,24.93
3385,0.2136,-0.071,0.8893,-6.18,8.27,-0.05,24.9
3395,0.2362,-0.0691,0.8815,-6.11,8.14,-0.03,24.9
3405,0.2334,-0.0537,0.8826,-6.11,7.95,0.0,24.89
3415,0.2368,-0.0367,0.8867,-6.23,7.83,-0.09,24.89
3425,0.234,-0.0314,0.8993,-6.29,8.17,-0.05,24.91
3435,0.2521,-0.0385,0.8876,-6.41,8.6,-0.05,24.92
3445,0.2651,-0.0392,0.8748,-6.4,7.4,-0.08,24.9
3456,0.2633,-0.0424,0.858,-6.37,6.75,-0.09,24.92
3466,0.2332,-0.0594,0.879,-6.24,6.37,-0.12,24.93
3476,0.2089,-0.0616,0.8922,-6.11,9.15,-0.11,24.94
3486,0.2426,-0.0525,0.8613,-6.12,8.72,-0.09,24.94
3496,0.2626,-0.0461,0.8511,-6.09,4.61,-0.15,24.93
3506,0.1971,-0.0453,0.9158,-6.2,7.3,-0.11,24.93
3516,0.2233,-0.0372,0.9218,-6.35,10.72,-0.03,24.94
3526,0.2761,-0.0443,0.864,-6.24,7.54,-0.03,24.93
3536,0.2389,-0.0514,0.8817,-6.31,5.73,-0.03,24.94
3546,0.2063,-0.0533,0.8944,-6.17,10.08,0.05,24.94
3556,0.2513,-0.0496,0.859,-6.11,8.43,0.05,24.94
3566,0.2526,-0.0464,0.8752,-6.18,6.46,0.06,24.95
3576,0.2086,-0.0402,0.9019,-6.21,7.54,-0.03,24.93
3586,0.2262,-0.03,0.8879,-6.29,9.82,-0.05,24.94
3596,0.2585,-0.0239,0.8575,-6.26,5.91,-0.06,24.94
3606,0.2163,-0.036,0.9077,-6.29,6.96,-0.06,24.92
3616,0.2181,-0.051,0.9055,-6.37,9.88,-0.06,24.96
3626,0.252,-0.0529,0.8541,-6.26,7.59,-0.08,24.95
3636,0.2421,-0.0625,0.8617,-6.14,5.74,0.05,24.96
3646,0.2067,-0.0559,0.9025,-6.08,8.75,0.15,24.97
3656,0.2505,-0.0466,0.8735,-6.29,9.02,0.12,24.93
3666,0.2623,-0.0405,0.8652,-6.15,5.73,0.12,24.97
3676,0.2122,-0.04,0.9004,-6.37,7.69,0.11,24.95
3686,0.2375,-0.0435,0.8868,-6.24,9.36,0.2,24.93
3696,0.2592,-0.0416,0.8683,-6.2,7.79,0.11,24.94
3706,0.2157,-0.0479,0.9133,-6.34,7.27,0.08,24.94
3716,0.2168,-0.0547,0.91,-6.26,10.17,0.09,24.96
3726,0.2482,-0.0602,0.8695,-6.2,8.12,-0.02,24.95
3736,0.2422,-0.0605,0.8707,-6.15,5.92,-0.02,24.95
3746,0.2073,-0.0508,0.9005,-6.17,8.7,-0.03,24.93
3756,0.2219,-0.0579,0.8964,-6.2,9.25,0.0,24.96
3766,0.2526,-0.047,0.8608,-6.24,6.53,-0.02,24.97
3776,0.2266,-0.0511,0.879,-6.2,6.69,-0.12,24.98
3786,0.2155,-0.0493,0.8962,-6.2,8.69,-0.11,24.95
3796,0.2406,-0.0535,0.8787,-6.17,8.75,-0.11,24.96
3806,0.2592,-0.051,0.8623,-6.14,6.76,-0.09,24.92
3816,0.2258,-0.0529,0.8937,-6.29,6.47,-0.08,24.96
3826,0.2103,-0.0505,0.908,-6.21,9.66,-0.08,24.94
3836,0.2485,-0.0468,0.8733,-6.14,8.69,-0.08,24.95
3846,0.2418,-0.0417,0.8785,-6.2,6.64,-0.08,24.96
3856,0.2188,-0.0405,0.8916,-6.23,7.85,0.02,24.97
3866,0.2252,-0.0356,0.88,-6.21,8.72,0.0,24.97
3876,0.2428,-0.0377,0.8701,-6.29,7.48,0.05,24.97
3886,0.2444,-0.0354,0.8767,-6.26,6.84,-0.11,24.97
3896,0.2286,-0.0359,0.8885,-6.26,7.34,-0.14,24.97
3906,0.2312,-0.0427,0.8971,-6.4,8.4,-0.08,24.97
3916,0.244,-0.0469,0.8865,-6.29,7.5,-0.14,24.97
3926,0.2354,-0.053,0.899,-6.26,7.82,-0.05,24.97
3936,0.2319,-0.0623,0.8864,-6.24,8.09,-0.02,24.95
3946,0.2161,-0.0618,0.895,-6.23,8.81,-0.05,24.94
3956,0.231,-0.0645,0.8694,-6.12,9.11,-0.05,24.97
3966,0.2406,-0.0588,0.8611,-6.05,6.72,0.06,24.97
3976,0.2157,-0.0503,0.8846,-6.08,7.48,-0.03,24.96
3986,0.2202,-0.0432,0.8944,-6.21,9.59,-0.08,25.0
3996,0.2577,-0.0417,0.8566,-6.11,7.53,-0.06,24.99
4006,0.2411,-0.0388,0.876,-6.21,5.85,0.05,24.97
4016,0.2184,-0.0426,0.9104,-6.21,9.04,-0.06,24.95
4026,0.2529,-0.0464,0.8815,-6.37,8.41,-0.12,24.97
4036,0.2526,-0.0537,0.8765,-6.18,6.53,-0.14,24.95
4046,0.2255,-0.053,0.8914,-6.21,7.73,-0.08,24.96
4056,0.2329,-0.0513,0.8865,-6.15,8.99,-0.08,24.97
4066,0.2509,-0.0481,0.8735,-6.26,7.21,-0.12,24.97
4076,0.2302,-0.0442,0.8892,-6.2,7.39,-0.06,24.97
4086,0.2306,-0.0465,0.886,-6.27,8.12,-0.02,24.99
4097,0.2382,-0.0426,0.8809,-6.29,7.36,-0.11,24.97
4107,0.2289,-0.0481,0.8912,-6.18,8.34,0.02,24.98
4117,0.2395,-0.0507,0.8807,-6.17,8.35,-0.05,24.98
4127,0.2363,-0.0505,0.8735,-6.08,8.34,-0.09,24.98
4137,0.2075,-0.0474,0.8846,-6.17,7.08,-0.12,24.97
4147,0.2039,-0.046,0.9133,-6.15,11.42,-0.12,24.95
4157,0.2588,-0.0382,0.8655,-6.18,7.37,0.02,24.99
4167,0.2341,-0.0402,0.8861,-6.29,6.96,-0.15,24.99
4177,0.2292,-0.0464,0.8873,-6.15,8.44,-0.08,24.99
4187,0.2389,-0.0441,0.879,-6.31,7.19,-0.09,24.96
4197,0.2162,-0.051,0.8953,-6.23,8.15,-0.11,24.99
4207,0.2399,-0.0453,0.8864,-6.27,8.29,0.0,24.99
4217,0.255,-0.0403,0.8829,-6.18,6.84,-0.05,24.99
4227,0.2292,-0.0483,0.9039,-6.31,7.74,-0.05,24.97
4237,0.2415,-0.0457,0.8894,-6.31,8.32,0.05,24.99
4247,0.2405,-0.0544,0.8851,-6.21,8.15,0.05,24.99
4257,0.2523,-0.0549,0.8612,-6.05,7.15,0.02,24.98
4267,0.233,-0.0503,0.8861,-6.15,6.63,-0.05,25.0
4277,0.2195,-0.0503,0.8817,-6.11,8.5,-0.05,24.98
4287,0.2388,-0.0475,0.8589,-6.06,7.1,-0.09,24.98
4297,0.2281,-0.0358,0.8755,-6.18,6.5,-0.05,24.99
4307,0.2228,-0.0392,0.9086,-6.31,8.66,-0.06,25.0
4317,0.2493,-0.0437,0.8707,-6.26,7.73,-0.08,24.96
4327,0.2338,-0.0454,0.8782,-6.32,6.7,-0.08,25.0
4337,0.2234,-0.0505,0.9039,-6.31,8.84,0.03,24.99
4347,0.2529,-0.053,0.88,-6.4,8.02,-0.11,24.97
4357,0.2484,-0.0605,0.8853,-6.29,7.05,-0.06,24.98
4367,0.2172,-0.0542,0.8958,-6.24,8.05,0.0,24.99
4377,0.2312,-0.0481,0.8914,-6.14,8.89,0.05,24.98
4387,0.243,-0.0457,0.8844,-6.2,7.79,0.12,25.0
4397,0.233,-0.0398,0.8811,-6.27,8.0,0.03,24.99
4409,0.2306,-0.0454,0.8831,-6.35,7.8,0.09,24.99
4419,0.2295,-0.0427,0.8762,-6.32,7.86,0.05,25.02
4429,0.2277,-0.0438,0.8932,-6.32,8.23,-0.02,25.01
4439,0.2367,-0.0452,0.8853,-6.17,8.05,-0.06,24.99
4449,0.2362,-0.0493,0.8793,-6.26,7.34,-0.18,25.01
4459,0.2216,-0.0554,0.8894,-6.17,7.98,-0.11,25.03
4469,0.2238,-0.0599,0.884,-6.15,8.76,-0.11,25.02
4479,0.2396,-0.0577,0.8723,-6.27,7.79,-0.08,25.0
4489,0.2303,-0.0557,0.8883,-6.27,7.4,-0.02,24.98
4499,0.2228,-0.0565,0.8936,-6.34,8.99,-0.12,24.98
4509,0.2452,-0.0499,0.8713,-6.14,8.21,-0.06,25.0
4519,0.2412,-0.0432,0.8821,-6.23,7.34,-0.08,25.0
4529,0.2375,-0.0436,0.8962,-6.24,7.86,-0.12,25.0
4539,0.2445,-0.0385,0.8909,-6.32,7.76,-0.12,25.0
4549,0.2378,-0.0428,0.8948,-6.35,7.82,0.0,25.01
4559,0.2361,-0.0459,0.8876,-6.35,7.94,-0.09,24.99
4569,0.2397,-0.0483,0.8899,-6.21,7.63,-0.08,25.01
4579,0.2395,-0.052,0.88,-6.27,8.03,-0.12,24.99
4589,0.2368,-0.0504,0.8722,-6.15,7.62,-0.15,25.0
4599,0.2407,-0.0455,0.8729,-6.14,7.68,-0.03,25.01
4609,0.2449,-0.0476,0.8716,-6.12,8.02,-0.11,25.02
4619,0.2327,-0.0486,0.8871,-6.2,7.13,-0.11,25.01
4629,0.2415,-0.0455,0.8835,-6.2,8.03,-0.03,25.02
4639,0.2452,-0.0419,0.8704,-6.26,7.82,-0.08,25.01
4649,0.2357,-0.0681,0.8677,-6.12,6.67,0.0,25.0
4659,0.2223,-0.0363,0.8953,-6.38,7.1,-0.03,24.98
4669,0.2278,-0.048,0.9045,-6.26,9.79,-0.09,25.01
4680,0.2596,-0.0482,0.8615,-6.23,7.25,-0.03,25.02
4690,0.2327,-0.0343,0.8923,-6.26,6.29,-0.14,25.02
4700,0.2133,-0.0444,0.9144,-6.37,8.82,0.0,25.01
4710,0.2369,-0.0431,0.8926,-6.26,9.18,-0.17,25.0
4720,0.2461,-0.0565,0.8838,-6.35,7.15,-0.03,25.0
4730,0.2346,-0.0632,0.8773,-6.15,6.78,-0.06,24.98
4740,0.2316,-0.0532,0.8718,-6.2,6.44,-0.08,25.02
4750,0.2327,-0.0531,0.8787,-6.12,8.96,0.78,24.99
4760,0.255,-0.0475,0.8668,-6.17,6.37,0.0,24.99
4770,0.2216,-0.0381,0.8929,-6.2,6.78,-0.15,25.01
4780,0.2162,-0.0483,0.901,-6.2,8.99,-0.14,25.02
4790,0.2163,-0.0487,0.9014,-6.26,8.72,-0.05,25.03
