t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
4143,0.1372,-0.5942,0.6385,-6.55,8.35,-1.42,21.78
4153,0.1418,-0.6545,0.6962,-4.24,8.49,-2.06,21.76
4163,0.1451,-0.6298,0.7314,0.41,12.08,-1.08,21.74
4173,0.1313,-0.5876,0.6852,-1.21,10.66,-0.64,21.77
4183,0.124,-0.6088,0.677,-5.68,6.44,-0.4,21.74
4193,0.1367,-0.6373,0.6726,-6.17,7.89,0.27,21.76
4203,0.1418,-0.5864,0.661,-5.74,10.4,0.63,21.73
4213,0.142,-0.6354,0.6649,-6.05,11.48,-0.14,21.77
4223,0.1444,-0.6295,0.6826,-3.79,12.58,-0.26,21.75
4233,0.1342,-0.62,0.6813,-3.68,11.95,-0.66,21.75
4243,0.1283,-0.6151,0.6803,-2.98,11.25,-0.96,21.76
4253,0.1205,-0.6139,0.6804,-1.76,11.25,-1.05,21.79
4263,0.1279,-0.6036,0.6693,-2.61,9.71,-1.25,21.78
4273,0.1234,-0.6056,0.6648,-3.56,8.61,-1.48,21.77
4284,0.1262,-0.6157,0.677,-3.89,6.89,-1.19,21.79
4294,0.1245,-0.6073,0.6633,-5.08,5.73,-0.41,21.79
4304,0.1339,-0.6101,0.671,-6.37,4.06,-0.08,21.76
4314,0.1422,-0.616,0.666,-6.24,4.06,-0.08,21.79
4324,0.1426,-0.616,0.6644,-5.82,4.06,-0.23,21.79
4334,0.1433,-0.6251,0.6791,-5.74,4.12,-0.5,21.76
4344,0.1345,-0.6226,0.6842,-5.21,4.24,-0.35,21.8
4354,0.1387,-0.6143,0.6842,-4.96,4.11,-0.26,21.78
4364,0.139,-0.6169,0.687,-4.98,4.4,-0.26,21.78
4374,0.1368,-0.621,0.689,-5.04,5.18,-0.47,21.78
4384,0.1421,-0.6232,0.6898,-5.63,5.68,-0.46,21.79
4394,0.1431,-0.6208,0.6853,-5.76,6.44,-0.43,21.8
4404,0.1346,-0.6274,0.6927,-5.97,8.49,0.08,21.75
4414,0.1361,-0.6241,0.6764,-6.75,8.17,0.14,21.75
4424,0.121,-0.5975,0.6846,-10.17,5.73,-0.52,21.78
4434,0.1306,-0.6239,0.6663,-10.17,6.76,-0.81,21.8
4444,0.13,-0.6261,0.6714,-8.11,9.08,-0.76,21.77
4454,0.1278,-0.6128,0.6884,-6.55,9.39,-1.34,21.78
4464,0.1241,-0.6073,0.6956,-6.14,8.46,-1.74,21.77
4474,0.1182,-0.6038,0.6797,-6.66,7.47,-2.0,21.78
4484,0.1248,-0.6023,0.6863,-7.18,7.19,-2.12,21.78
4494,0.1353,-0.6105,0.6846,-6.73,7.89,-2.0,21.77
4504,0.1416,-0.6035,0.6809,-6.21,8.03,-1.66,21.78
4514,0.1412,-0.6049,0.6764,-6.4,7.34,-1.69,21.77
4524,0.1382,-0.6072,0.6824,-6.78,7.04,-1.47,21.79
4534,0.1445,-0.6144,0.6932,-6.76,6.66,-1.45,21.79
4544,0.1444,-0.6198,0.6971,-6.63,6.7,-1.16,21.79
4554,0.145,-0.6161,0.6991,-6.73,5.92,-1.28,21.78
4564,0.1511,-0.6249,0.701,-7.05,6.02,-1.21,21.78
4574,0.1547,-0.6241,0.7031,-6.9,7.02,-1.11,21.79
4584,0.1544,-0.6178,0.7047,-6.7,8.75,-1.04,21.78
4594,0.146,-0.6152,0.7,-6.93,10.15,-1.19,21.77
4604,0.1447,-0.6166,0.6819,-7.45,11.07,-1.04,21.81
4614,0.1427,-0.6166,0.6793,-8.02,11.47,-1.07,21.78
4624,0.1433,-0.6166,0.6776,-8.52,11.98,-1.19,21.78
4634,0.1438,-0.6135,0.6786,-8.72,12.08,-1.13,21.82
4644,0.1392,-0.6172,0.6782,-8.69,11.34,-0.85,21.77
4654,0.1335,-0.6162,0.6842,-8.08,11.11,-0.75,21.78
4664,0.1311,-0.6106,0.6785,-7.37,10.69,-0.93,21.78
4674,0.1289,-0.6082,0.6765,-6.76,10.18,-1.04,21.78
4684,0.1292,-0.609,0.6766,-6.2,8.73,-1.05,21.76
4694,0.1351,-0.6324,0.7042,-5.79,8.24,-0.73,21.78
4704,0.142,-0.6094,0.6741,-5.16,7.86,-0.05,21.79
4714,0.1302,-0.5963,0.6637,-7.28,6.69,0.5,21.8
4724,0.121,-0.6003,0.6556,-10.46,5.24,0.78,21.79
4734,0.134,-0.6162,0.6661,-11.91,5.16,0.63,21.81
4744,0.1342,-0.6237,0.676,-11.11,6.87,0.81,21.78
4754,0.1333,-0.6315,0.6798,-10.99,6.6,1.16,21.78
4764,0.1222,-0.6128,0.6726,-12.27,4.66,1.16,21.79
4774,0.1234,-0.6119,0.6493,-12.9,3.68,0.46,21.8
4784,0.1261,-0.6194,0.646,-12.23,3.56,-0.47,21.77
4794,0.1289,-0.5935,0.6461,-11.04,4.2,-1.89,21.78
4804,0.1704,-0.7167,0.7036,-9.05,3.95,-4.5,21.8
4815,0.2086,-0.7124,0.8181,6.89,16.29,-3.63,21.81
4825,0.1471,-0.5433,0.6621,12.35,22.03,-0.67,21.78
4835,0.1074,-0.5864,0.6925,-3.8,5.16,-2.9,21.8
4845,0.1066,-0.6324,0.6774,-9.4,5.01,-1.88,21.79
4855,0.1335,-0.5961,0.6321,-9.1,9.8,-1.39,21.79
4865,0.1493,-0.6188,0.6418,-11.85,10.34,-1.71,21.8
4875,0.1619,-0.641,0.6927,-8.61,15.1,-0.66,21.8
4885,0.1377,-0.6072,0.6819,-7.18,14.76,-1.39,21.79
4895,0.1191,-0.6171,0.6774,-8.06,11.1,-1.66,21.8
4905,0.1274,-0.6298,0.6953,-7.02,9.37,-2.09,21.8
4915,0.1263,-0.613,0.6832,-5.36,9.19,-1.88,21.79
4925,0.1281,-0.6212,0.6796,-5.53,7.05,-1.82,21.79
4935,0.1256,-0.6226,0.6881,-5.63,6.84,-1.98,21.81
4945,0.1384,-0.6202,0.6803,-5.21,7.65,-2.06,21.84
4955,0.1398,-0.6141,0.6774,-6.03,7.3,-1.6,21.77
4965,0.1289,-0.6182,0.6901,-6.85,7.01,-1.57,21.8
