t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
4133,0.2333,-0.0565,0.8839,-6.06,9.25,-0.09,24.35
4143,0.2545,-0.0477,0.8727,-6.24,6.78,-0.12,24.37
4153,0.2344,-0.0513,0.8937,-6.23,7.71,-0.15,24.36
4163,0.2406,-0.0563,0.8879,-6.24,8.55,-0.08,24.36
4173,0.2573,-0.0562,0.8759,-6.15,6.76,-0.03,24.35
4183,0.2189,-0.061,0.9053,-6.14,8.2,0.05,24.35
4193,0.2343,-0.0646,0.8849,-6.02,10.47,0.12,24.36
4203,0.2645,-0.0616,0.8453,-5.97,6.09,0.03,24.39
4213,0.2177,-0.0513,0.875,-6.12,6.23,-0.03,24.37
4223,0.2098,-0.0347,0.8966,-6.05,9.73,0.0,24.36
4233,0.2616,-0.0217,0.8563,-6.17,7.08,0.03,24.35
4243,0.2385,-0.0209,0.8905,-6.17,6.06,-0.11,24.36
4253,0.217,-0.0254,0.9091,-6.26,9.01,-0.17,24.35
4263,0.2552,-0.0349,0.8706,-6.18,8.17,-0.17,24.34
4273,0.2444,-0.0447,0.8767,-6.12,6.12,-0.15,24.34
4283,0.2142,-0.0476,0.908,-6.17,8.49,-0.11,24.35
4293,0.2411,-0.0483,0.8831,-6.18,9.21,-0.09,24.37
4303,0.2576,-0.049,0.8696,-6.14,6.27,-0.06,24.37
4313,0.2159,-0.0481,0.9027,-6.06,7.89,0.0,24.37
4323,0.2335,-0.0497,0.8732,-6.17,9.53,0.08,24.36
4333,0.2561,-0.0481,0.843,-6.08,6.14,0.05,24.36
4343,0.2229,-0.0491,0.8846,-6.11,6.43,0.0,24.36
4353,0.2244,-0.0491,0.8901,-6.06,8.93,0.0,24.37
4363,0.2479,-0.049,0.8713,-6.2,7.66,0.02,24.35
4373,0.2417,-0.0547,0.8706,-6.21,6.84,-0.05,24.38
4383,0.2292,-0.0538,0.8873,-6.14,7.27,0.05,24.37
4393,0.2227,-0.0496,0.8989,-6.15,8.85,0.0,24.37
4403,0.2529,-0.0494,0.8804,-6.23,8.17,-0.03,24.37
4413,0.2528,-0.0503,0.8745,-6.26,5.83,-0.12,24.36
4423,0.2123,-0.0536,0.9099,-6.2,7.94,-0.05,24.36
4433,0.2344,-0.0529,0.8929,-6.18,9.73,-0.03,24.36
4443,0.2601,-0.0538,0.8696,-6.18,6.76,-0.09,24.37
4453,0.2261,-0.0549,0.8903,-6.23,7.15,0.02,24.36
4463,0.22,-0.0541,0.8901,-6.15,8.67,-0.06,24.38
4473,0.2365,-0.0513,0.8822,-6.08,8.43,-0.02,24.38
4483,0.2445,-0.0498,0.8721,-6.0,7.5,-0.06,24.37
4493,0.2354,-0.0435,0.8706,-6.2,6.99,-0.08,24.39
4503,0.2273,-0.0472,0.8784,-6.11,7.82,-0.12,24.37
4513,0.2365,-0.0394,0.8751,-6.06,7.25,-0.15,24.37
