t_ms,min_cell_mv,max_cell_mv,avg_cell_mv,min_cell_temp_c,max_cell_temp_c,avg_cell_temp_c,imd_riso_kohm,imd_riso_status,cell_v_valid,cell_t_valid,glv_valid
3288,0,0,0,-1000,-1000,-1000,65535,0,0,0,0
4288,0,0,0,-1000,-1000,-1000,0,252,0,0,1
5288,0,0,0,-1000,-1000,-1000,7455,252,0,0,1
6288,0,0,0,-1000,-1000,-1000,10371,252,0,0,1
7290,0,0,0,-1000,-1000,-1000,11232,252,0,0,1
8290,0,0,0,-1000,-1000,-1000,11819,252,0,0,1
9290,0,0,0,-1000,-1000,-1000,12188,252,0,0,1
10290,0,0,0,-1000,-1000,-1000,12297,252,0,0,1
11290,0,0,0,-1000,-1000,-1000,15968,253,0,0,1
12290,0,0,0,-1000,-1000,-1000,15968,253,0,0,1
13291,0,0,0,-1000,-1000,-1000,15968,253,0,0,1
14291,0,0,0,-1000,-1000,-1000,15968,253,0,0,1
15291,0,0,0,-1000,-1000,-1000,15968,253,0,0,1
16291,0,0,0,-1000,-1000,-1000,15968,253,0,0,1
17291,0,0,0,-1000,-1000,-1000,15968,253,0,0,1
18291,0,0,0,-1000,-1000,-1000,15968,253,0,0,1
19291,0,0,0,-1000,-1000,-1000,15968,253,0,0,1
20291,0,0,0,-1000,-1000,-1000,15968,253,0,0,1
21291,0,0,0,-1000,-1000,-1000,15968,253,0,0,1
22291,0,0,0,-1000,-1000,-1000,15968,253,0,0,1
23291,0,0,0,-1000,-1000,-1000,15968,253,0,0,1
24291,0,0,0,-1000,-1000,-1000,15968,253,0,0,1
25291,0,0,0,-1000,-1000,-1000,15968,253,0,0,1
