t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
3279,0.2052,-0.1403,0.8715,-6.09,7.73,-0.11,20.24
3290,0.2045,-0.1438,0.876,-6.11,7.71,-0.02,20.25
3301,0.2073,-0.1449,0.8705,-6.06,7.71,0.0,20.25
3311,0.2073,-0.1475,0.8745,-6.08,7.79,0.0,20.26
3321,0.2052,-0.1421,0.8727,-6.02,7.74,-0.14,20.27
3331,0.2045,-0.145,0.8749,-6.05,7.79,-0.06,20.25
3341,0.2067,-0.1427,0.8723,-6.05,7.69,-0.08,20.23
3351,0.2111,-0.1418,0.8743,-6.02,7.73,-0.15,20.29
3361,0.208,-0.1428,0.8734,-6.12,7.71,-0.11,20.27
3371,0.21,-0.1431,0.8724,-6.08,7.79,0.03,20.26
3381,0.2063,-0.1417,0.8795,-6.14,7.74,0.0,20.26
3391,0.2053,-0.1429,0.8783,-6.14,7.76,-0.02,20.28
3401,0.2059,-0.1429,0.8741,-5.98,7.66,-0.12,20.25
3411,0.2092,-0.1432,0.873,-6.0,7.66,-0.03,20.26
3421,0.2064,-0.1437,0.8756,-6.05,7.8,0.06,20.29
3431,0.2079,-0.1433,0.8746,-6.08,7.83,0.02,20.27
3441,0.205,-0.144,0.8716,-6.11,7.8,-0.02,20.28
3451,0.2076,-0.1451,0.8749,-6.06,7.77,0.06,20.29
3461,0.2085,-0.1416,0.8706,-5.95,7.71,-0.09,20.26
3471,0.2065,-0.1411,0.8723,-6.02,7.69,-0.06,20.28
3481,0.2064,-0.1421,0.8743,-5.94,7.65,-0.03,20.29
3491,0.2045,-0.1438,0.8746,-6.02,7.71,-0.02,20.3
3501,0.2075,-0.1418,0.8767,-6.06,7.73,-0.03,20.29
3511,0.2074,-0.1442,0.8737,-6.15,7.76,-0.02,20.29
3521,0.2072,-0.1429,0.8733,-6.05,7.74,-0.11,20.28
3531,0.2089,-0.1398,0.8702,-6.08,7.71,-0.09,20.31
3541,0.2062,-0.1442,0.8698,-6.06,7.68,-0.08,20.31
3551,0.207,-0.1428,0.87,-6.11,7.77,-0.05,20.27
3561,0.2051,-0.1429,0.874,-6.02,7.82,0.0,20.29
3571,0.2087,-0.1459,0.8748,-6.09,7.74,-0.06,20.28
3581,0.2086,-0.1439,0.8754,-6.18,7.79,-0.08,20.29
3591,0.2073,-0.1422,0.8726,-6.11,7.73,-0.05,20.28
3601,0.2054,-0.142,0.8712,-6.12,7.73,-0.06,20.27
3611,0.2063,-0.1426,0.8726,-6.05,7.83,-0.08,20.29
3621,0.2079,-0.1421,0.8713,-5.97,7.79,-0.05,20.31
3631,0.2058,-0.1459,0.8677,-6.0,7.69,0.0,20.28
