t_ms,min_cell_mv,max_cell_mv,avg_cell_mv,min_cell_temp_c,max_cell_temp_c,avg_cell_temp_c,imd_riso_kohm,imd_riso_status,cell_v_valid,cell_t_valid,glv_valid
4196,0,0,0,-1000,-1000,-1000,65535,0,0,0,0
5196,0,0,0,-1000,-1000,-1000,7799,252,0,0,1
6196,0,0,0,-1000,-1000,-1000,10149,252,0,0,1
7196,3724,3778,3772,-1000,-1000,-1000,11600,252,1,0,1
8197,3724,3778,3772,20,21,20,12678,252,1,1,1
9197,3724,3778,3772,20,21,20,13169,252,1,1,1
10197,3724,3778,3772,20,21,20,13627,252,1,1,1
11197,3724,3778,3772,20,21,20,14062,252,1,1,1
12197,3724,3778,3772,20,21,20,18029,253,1,1,1
13197,3724,3778,3772,20,21,20,18029,253,1,1,1
14197,3724,3778,3772,20,21,20,18029,253,1,1,1
15197,3724,3778,3772,20,21,20,18029,253,1,1,1
16197,3724,3778,3772,20,21,20,18029,253,1,1,1
17197,3724,3778,3772,20,21,20,18029,253,1,1,1
18197,3724,3778,3772,20,21,20,18029,253,1,1,1
19197,3724,3778,3772,20,21,20,18029,253,1,1,1
20197,3724,3778,3772,20,21,20,18029,253,1,1,1
21197,3724,3778,3772,20,21,20,18029,253,1,1,1
22197,3724,3778,3772,20,21,20,18029,253,1,1,1
23197,3724,3778,3772,20,21,20,18029,253,1,1,1
24197,3724,3778,3772,20,21,20,18029,253,1,1,1
25197,3724,3778,3772,20,21,20,18029,253,1,1,1
26197,3724,3778,3772,20,21,20,18029,253,1,1,1
27197,3724,3778,3772,20,21,20,18029,253,1,1,1
28197,3724,3778,3772,20,21,20,18029,253,1,1,1
29197,3724,3778,3772,20,21,20,18029,253,1,1,1
30197,3724,3778,3772,20,21,20,18029,253,1,1,1
31197,3724,3778,3772,20,21,20,18029,253,1,1,1
32197,3724,3778,3772,20,21,20,18029,253,1,1,1
33197,3724,3778,3772,20,21,20,18029,253,1,1,1
34197,3724,3778,3772,20,21,20,18029,253,1,1,1
35197,3724,3778,3772,20,21,20,18029,253,1,1,1
36197,3724,3778,3772,20,21,20,18029,253,1,1,1
37197,3724,3778,3772,20,21,20,18029,253,1,1,1
38197,3724,3778,3772,20,21,20,18029,253,1,1,1
39197,3724,3778,3772,20,21,20,18029,253,1,1,1
40197,3724,3778,3772,20,21,20,18029,253,1,1,1
41197,3724,3778,3772,20,21,20,18029,253,1,1,1
42197,3724,3778,3772,20,21,20,18029,253,1,1,1
43197,3724,3778,3772,20,21,20,18029,253,1,1,1
44197,3724,3778,3772,20,21,20,18029,253,1,1,1
45197,3724,3778,3772,20,21,20,18029,253,1,1,1
