t_ms,min_cell_mv,max_cell_mv,avg_cell_mv,min_cell_temp_c,max_cell_temp_c,avg_cell_temp_c,imd_riso_kohm,imd_riso_status,cell_v_valid,cell_t_valid,glv_valid
3275,0,0,0,-1000,-1000,-1000,65535,0,0,0,0
4275,0,0,0,-1000,-1000,-1000,7631,252,0,0,1
5275,0,0,0,-1000,-1000,-1000,11103,252,0,0,1
6275,0,0,0,-1000,-1000,-1000,13858,252,0,0,1
7275,3769,3789,3783,31,40,34,15613,252,1,1,1
8275,3769,3789,3783,31,40,34,16994,252,1,1,1
9275,3769,3789,3783,31,40,34,17801,252,1,1,1
10275,3769,3789,3783,31,40,34,18341,252,1,1,1
11275,3769,3789,3783,31,40,34,23912,253,1,1,1
12275,3769,3789,3783,31,40,34,23912,253,1,1,1
13275,3769,3789,3783,31,40,34,23912,253,1,1,1
14275,3769,3789,3783,31,40,34,23912,253,1,1,1
15275,3769,3789,3783,31,40,34,23912,253,1,1,1
16275,3769,3789,3783,31,40,34,23912,253,1,1,1
17275,3769,3789,3783,31,39,34,23912,253,1,1,1
18275,3769,3789,3783,31,39,34,23912,253,1,1,1
19275,3769,3789,3783,31,39,34,23912,253,1,1,1
20275,3769,3789,3783,31,39,34,23912,253,1,1,1
21275,3769,3789,3783,31,39,34,23912,253,1,1,1
22275,3769,3789,3783,31,39,34,23912,253,1,1,1
23275,3769,3789,3783,31,39,34,23912,253,1,1,1
24275,3769,3789,3783,31,39,34,23912,253,1,1,1
25275,3769,3789,3783,31,39,34,23912,253,1,1,1
26275,3769,3789,3783,31,39,34,23912,253,1,1,1
27275,3769,3789,3783,31,39,34,23912,253,1,1,1
28275,3769,3789,3783,31,39,34,23912,253,1,1,1
29275,3769,3789,3783,31,39,34,23912,253,1,1,1
30275,3769,3789,3783,31,39,34,23912,253,1,1,1
31275,3769,3789,3783,31,39,34,23912,253,1,1,1
32275,3769,3789,3783,31,39,34,23912,253,1,1,1
33275,3769,3789,3783,31,39,34,23912,253,1,1,1
34275,3769,3789,3783,31,39,34,23912,253,1,1,1
35275,3769,3789,3783,31,39,34,23912,253,1,1,1
36275,3769,3789,3783,31,39,34,23912,253,1,1,1
37275,3769,3789,3783,31,39,34,23912,253,1,1,1
38275,3769,3789,3783,31,39,34,23912,253,1,1,1
39275,3769,3789,3783,31,39,34,23912,253,1,1,1
40275,3769,3789,3783,31,39,34,23912,253,1,1,1
41275,3769,3789,3783,31,39,34,23912,253,1,1,1
42275,3769,3789,3783,31,39,34,23912,253,1,1,1
43275,3769,3789,3783,31,39,34,23912,253,1,1,1
44275,3769,3789,3783,31,39,34,23912,253,1,1,1
45275,3769,3789,3783,31,39,34,23912,253,1,1,1
46275,3769,3789,3783,31,39,34,23912,253,1,1,1
47275,3769,3789,3783,31,39,34,23912,253,1,1,1
48275,3769,3789,3783,31,39,34,23912,253,1,1,1
49275,3769,3789,3783,31,39,34,23912,253,1,1,1
50275,3769,3789,3783,31,39,34,23912,253,1,1,1
51275,3769,3789,3783,31,39,34,28059,253,1,1,1
52275,3769,3789,3783,31,39,34,28059,253,1,1,1
53275,3769,3789,3783,31,39,34,28059,253,1,1,1
54275,3769,3789,3783,31,39,34,28059,253,1,1,1
55275,3769,3789,3783,31,39,34,28059,253,1,1,1
56275,3769,3789,3783,31,39,34,28059,253,1,1,1
57275,3769,3789,3783,31,39,34,28059,253,1,1,1
58275,3769,3789,3783,31,39,34,28059,253,1,1,1
59275,3769,3789,3783,31,39,34,28059,253,1,1,1
