t_ms,min_cell_mv,max_cell_mv,avg_cell_mv,min_cell_temp_c,max_cell_temp_c,avg_cell_temp_c,imd_riso_kohm,imd_riso_status,cell_v_valid,cell_t_valid,glv_valid
3285,0,0,0,-1000,-1000,-1000,65535,0,0,0,0
4285,0,0,0,-1000,-1000,-1000,14592,252,0,0,1
5285,0,0,0,-1000,-1000,-1000,20271,252,0,0,1
6285,0,0,0,-1000,-1000,-1000,23874,252,0,0,1
7285,4071,4128,4120,23,24,24,26706,252,1,1,1
8285,4071,4128,4120,23,24,24,28440,252,1,1,1
9285,4071,4128,4120,23,24,24,36656,253,1,1,1
10285,4071,4128,4120,23,24,24,36656,253,1,1,1
11285,4071,4128,4120,23,24,24,36656,253,1,1,1
12285,4071,4128,4120,23,24,24,36656,253,1,1,1
13285,4071,4128,4120,23,24,24,36656,253,1,1,1
14285,4071,4128,4120,23,24,24,36656,253,1,1,1
15285,4071,4128,4120,23,24,24,36656,253,1,1,1
16285,4071,4128,4120,23,24,24,36656,253,1,1,1
17285,4071,4128,4120,23,24,24,36656,253,1,1,1
18285,4071,4128,4120,23,24,24,36656,253,1,1,1
19285,4071,4128,4120,23,24,24,36656,253,1,1,1
20285,4071,4128,4120,23,24,24,36656,253,1,1,1
21285,4071,4128,4120,23,24,24,36656,253,1,1,1
22285,4071,4128,4120,23,24,24,36656,253,1,1,1
23285,4071,4128,4120,23,24,24,36656,253,1,1,1
24285,4071,4128,4120,23,24,24,36656,253,1,1,1
25285,4071,4128,4120,23,24,24,36656,253,1,1,1
26285,4071,4128,4120,23,24,24,36656,253,1,1,1
27285,4071,4128,4120,23,24,24,36656,253,1,1,1
28285,4071,4128,4120,23,24,24,36656,253,1,1,1
29285,4071,4128,4120,23,24,24,36656,253,1,1,1
30285,4071,4128,4120,23,24,24,36656,253,1,1,1
31285,4071,4128,4120,23,24,24,36656,253,1,1,1
32285,4071,4128,4120,23,24,24,36656,253,1,1,1
33285,4071,4128,4120,23,24,24,36656,253,1,1,1
34285,4071,4128,4120,23,24,24,36656,253,1,1,1
35286,4071,4128,4120,23,24,24,36656,253,1,1,1
36286,4071,4128,4120,23,24,24,36656,253,1,1,1
37286,4071,4128,4120,23,24,24,36656,253,1,1,1
38286,4071,4128,4120,23,24,24,36656,253,1,1,1
39286,4071,4128,4120,23,24,24,36656,253,1,1,1
