t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
4150,0.3284,-0.0266,0.8644,-6.7,7.95,-0.03,29.35
4160,0.3301,-0.0238,0.8638,-6.67,7.95,-0.06,29.32
4170,0.3268,-0.0243,0.8621,-6.67,7.94,0.02,29.33
4180,0.3291,-0.0251,0.8656,-6.7,7.88,0.03,29.33
4190,0.3287,-0.0251,0.8634,-6.64,7.98,-0.02,29.35
4200,0.3279,-0.0254,0.8629,-6.66,8.0,-0.08,29.33
4210,0.327,-0.0273,0.8605,-6.69,8.02,-0.02,29.33
4220,0.3276,-0.0258,0.8625,-6.72,7.94,-0.08,29.34
4230,0.3256,-0.0251,0.8607,-6.72,7.95,-0.06,29.34
4240,0.3293,-0.0244,0.8628,-6.7,7.94,-0.06,29.35
4250,0.3253,-0.0273,0.86,-6.64,7.91,0.02,29.35
4260,0.3281,-0.0249,0.8652,-6.72,7.98,0.02,29.35
4270,0.328,-0.025,0.8628,-6.73,7.91,-0.03,29.35
4280,0.3265,-0.0214,0.8674,-6.67,7.94,-0.05,29.34
4290,0.3275,-0.0256,0.8654,-6.61,8.0,-0.03,29.35
4300,0.3256,-0.0266,0.866,-6.73,8.0,-0.05,29.35
4310,0.3301,-0.0215,0.8651,-6.66,7.95,-0.05,29.33
4320,0.3285,-0.0269,0.8654,-6.7,7.94,0.0,29.34
4330,0.3301,-0.028,0.861,-6.7,7.97,-0.09,29.35
4340,0.3304,-0.0258,0.8652,-6.73,8.02,-0.06,29.34
4350,0.3309,-0.0258,0.8629,-6.69,7.95,-0.02,29.38
4360,0.3278,-0.0228,0.8684,-6.67,8.0,-0.05,29.33
4370,0.327,-0.0253,0.8654,-6.7,8.0,-0.03,29.34
4380,0.3274,-0.0256,0.8619,-6.73,7.97,-0.03,29.34
4390,0.3278,-0.0253,0.8641,-6.69,7.95,-0.03,29.37
4400,0.3273,-0.0253,0.8665,-6.69,7.92,-0.03,29.34
4410,0.3264,-0.0267,0.8636,-6.72,7.91,0.0,29.35
4420,0.3265,-0.0261,0.8606,-6.79,7.95,-0.05,29.35
4430,0.3256,-0.025,0.8633,-6.69,8.03,-0.06,29.36
4440,0.3307,-0.0239,0.8638,-6.73,7.94,-0.02,29.34
4450,0.3275,-0.024,0.8652,-6.76,7.95,-0.05,29.37
4460,0.3269,-0.0226,0.866,-6.78,7.92,-0.06,29.32
4470,0.3301,-0.0256,0.8628,-6.72,8.03,-0.03,29.34
4480,0.3296,-0.0248,0.8669,-6.67,7.95,-0.08,29.36
4490,0.3279,-0.0262,0.8649,-6.66,7.97,-0.02,29.37
