t_ms,apps1_pct,apps2_pct,pedal_pct,desired_torque_nm,power_kw,speed_mph,glv_voltage_v,inverter_temp_c,motor_temp_c,soc_pct,battery_temp_c,bms_flags_hex,bms_fault_code,imd_warn_alarms_hex,pm100_post_faults_hex,pm100_run_faults_hex,fan_duty_pct,rtd_state
4192,6.1,3.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0x00,0,0x0000,0x00000000,0x00000000,20,FAULT_BLOCKED
4292,6.2,3.8,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0x00,0,0x0000,0x00000000,0x00000800,20,FAULT_BLOCKED
4392,6.1,3.8,0.0,0.0,0.0,0,13.05,22.2,28.8,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
4492,6.1,3.8,0.0,0.0,0.0,0,13.03,22.2,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
4592,6.1,3.8,0.0,0.0,0.0,0,13.02,22.2,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
4692,6.1,3.8,0.0,0.0,0.0,0,13.04,22.2,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
4792,6.1,3.9,0.0,0.0,0.0,0,13.04,22.2,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
4892,6.1,3.9,0.0,0.0,0.0,0,13.04,22.2,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
4992,6.1,3.9,0.0,0.0,0.0,0,13.02,22.2,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
5092,6.1,3.8,0.0,0.0,0.0,0,13.03,22.2,28.7,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
5192,6.1,3.8,0.0,0.0,0.0,0,13.04,22.2,28.8,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
5292,6.1,3.8,0.0,0.0,0.0,0,13.02,22.2,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
5392,6.2,3.9,0.0,0.0,0.0,0,13.03,22.2,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
5492,6.1,3.8,0.0,0.0,0.0,0,13.05,22.2,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
5592,6.1,3.9,0.0,0.0,0.0,0,13.03,22.2,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
5692,6.1,3.9,0.0,0.0,0.0,0,13.11,22.2,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
5792,6.1,3.8,0.0,0.0,0.0,0,13.01,22.2,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
5892,6.1,3.8,0.0,0.0,0.0,0,13.04,22.2,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
5992,6.1,3.8,0.0,0.0,0.0,0,13.03,22.2,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
6092,6.1,3.8,0.0,0.0,0.0,0,13.04,22.2,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
6192,6.1,3.8,0.0,0.0,0.0,0,13.02,22.2,28.9,0,0,0x00,0,0x0000,0x00000000,0x00000800,41,FAULT_BLOCKED
6292,6.1,3.9,0.0,0.0,0.0,0,13.04,22.2,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
6392,6.1,3.9,0.0,0.0,0.0,0,13.04,22.2,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
6492,6.1,3.9,0.0,0.0,0.0,0,13.02,22.2,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
6592,6.1,3.9,0.0,0.0,0.0,0,13.02,22.2,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
6692,6.1,3.8,0.0,0.0,0.0,0,13.03,22.2,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
6792,6.1,3.8,0.0,0.0,0.0,0,13.04,22.2,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
6892,6.1,3.8,0.0,0.0,0.0,0,13.1,22.2,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
6992,6.1,3.8,0.0,0.0,0.0,0,13.03,22.2,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
7092,6.1,3.9,0.0,0.0,0.0,0,13.03,22.2,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
7192,6.1,3.9,0.0,0.0,0.0,0,13.05,22.2,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
7292,6.2,3.8,0.0,0.0,0.0,0,13.03,22.2,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
7393,6.1,3.8,0.0,0.0,0.0,0,13.04,22.2,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
7493,6.1,3.8,0.0,0.0,0.0,0,13.05,22.2,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
7593,6.1,3.9,0.0,0.0,0.0,0,13.02,22.2,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
7693,6.1,3.8,0.0,0.0,0.0,0,13.04,22.2,28.9,0,0,0x00,0,0x0000,0x00000000,0x00000800,41,FAULT_BLOCKED
7793,6.1,3.8,0.0,0.0,0.0,0,13.03,22.2,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
7893,6.2,3.8,0.0,0.0,0.0,0,13.03,22.2,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
7993,6.1,3.8,0.0,0.0,0.0,0,13.01,22.2,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
8093,6.1,3.8,0.0,0.0,0.0,0,13.02,22.2,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
8193,6.1,3.8,0.0,0.0,0.0,0,13.06,22.2,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
8293,6.2,3.8,0.0,0.0,0.0,0,13.05,22.2,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
8393,6.1,3.8,0.0,0.0,0.0,0,13.03,22.2,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
8493,6.1,3.8,0.0,0.0,0.0,0,13.02,22.2,28.7,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
8593,6.1,3.9,0.0,0.0,0.0,0,13.02,22.2,28.7,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
8693,6.1,3.9,0.0,0.0,0.0,0,13.06,22.2,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
8793,6.1,3.8,0.0,0.0,0.0,0,13.06,22.2,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
8893,6.1,3.8,0.0,0.0,0.0,0,13.05,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
8993,6.1,3.9,0.0,0.0,0.0,0,13.03,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
9093,6.1,3.8,0.0,0.0,0.0,0,13.06,22.1,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
9193,6.1,3.9,0.0,0.0,0.0,0,13.04,22.2,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
9439,6.1,3.8,0.0,0.0,0.0,0,13.04,22.2,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
9539,6.1,3.8,0.0,0.0,0.0,0,13.03,22.2,28.8,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
9639,6.1,3.8,0.0,0.0,0.0,0,13.02,22.2,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
9739,6.1,3.8,0.0,0.0,0.0,0,13.02,22.2,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
9839,6.1,3.8,0.0,0.0,0.0,0,13.03,22.2,28.7,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
9939,6.2,3.9,0.0,0.0,0.0,0,12.97,22.2,28.7,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
10039,6.1,3.8,0.0,0.0,0.0,0,13.05,22.2,28.7,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
10139,6.1,3.8,0.0,0.0,0.0,0,13.04,22.1,28.7,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
10239,6.2,3.8,0.0,0.0,0.0,0,13.06,22.2,28.7,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
10339,6.2,3.8,0.0,0.0,0.0,0,13.05,22.2,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
10440,6.1,3.8,0.0,0.0,0.0,0,13.04,22.2,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
10540,6.2,3.9,0.0,0.0,0.0,0,12.98,22.2,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
10640,6.1,3.9,0.0,0.0,0.0,0,13.05,22.2,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
10740,6.1,3.8,0.0,0.0,0.0,0,13.04,22.2,28.8,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
10840,6.1,3.9,0.0,0.0,0.0,0,13.05,22.2,28.8,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
10940,6.1,3.8,0.0,0.0,0.0,0,13.02,22.2,28.7,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
11040,6.1,3.8,0.0,0.0,0.0,0,13.02,22.2,28.7,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
11140,6.1,3.9,0.0,0.0,0.0,0,13.02,22.2,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
11240,6.1,3.8,0.0,0.0,0.0,0,13.05,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
11340,6.1,3.8,0.0,0.0,0.0,0,13.11,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
11440,6.1,3.9,0.0,0.0,0.0,0,13.05,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
11540,6.1,3.9,0.0,0.0,0.0,0,13.04,22.1,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
11640,6.1,3.8,0.0,0.0,0.0,0,13.06,22.1,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
11740,6.1,3.8,0.0,0.0,0.0,0,13.06,22.1,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
11840,6.1,3.8,0.0,0.0,0.0,0,13.02,22.1,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
11940,6.1,3.8,0.0,0.0,0.0,0,13.03,22.1,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
12040,6.1,3.9,0.0,0.0,0.0,0,13.04,22.2,28.1,0,0,0x00,0,0x0000,0x00000000,0x00000800,37,FAULT_BLOCKED
12140,6.2,3.8,0.0,0.0,0.0,0,13.03,22.2,28.1,0,0,0x00,0,0x0000,0x00000000,0x00000800,37,FAULT_BLOCKED
12240,6.1,3.8,0.0,0.0,0.0,0,13.03,22.2,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
12340,6.1,3.8,0.0,0.0,0.0,0,13.03,22.2,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
12440,6.1,3.8,0.0,0.0,0.0,0,13.02,22.2,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
12540,6.1,3.9,0.0,0.0,0.0,0,13.04,22.1,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
12640,6.1,3.8,0.0,0.0,0.0,0,13.02,22.1,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
12740,6.1,3.9,0.0,0.0,0.0,0,13.03,22.1,28.7,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
12840,5.9,3.8,0.0,0.0,0.0,0,13.06,22.2,28.8,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
12940,6.1,3.8,0.0,0.0,0.0,0,13.03,22.2,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
13040,6.1,3.8,0.0,0.0,0.0,0,13.06,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
13140,6.1,3.8,0.0,0.0,0.0,0,13.04,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
13240,6.2,3.8,0.0,0.0,0.0,0,13.04,22.1,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
13340,6.2,3.8,0.0,0.0,0.0,0,13.05,22.2,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
13440,6.1,3.9,0.0,0.0,0.0,0,13.04,22.2,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
13540,6.1,3.9,0.0,0.0,0.0,0,13.04,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
13640,6.1,3.9,0.0,0.0,0.0,0,13.02,22.1,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
13740,6.1,3.8,0.0,0.0,0.0,0,13.05,22.1,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
13840,6.1,3.9,0.0,0.0,0.0,0,13.03,22.1,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
13940,6.2,3.8,0.0,0.0,0.0,0,13.06,22.1,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
14040,6.1,3.9,0.0,0.0,0.0,0,13.05,22.1,28.7,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
14140,6.2,3.9,0.0,0.0,0.0,0,13.02,22.1,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
14240,6.2,3.8,0.0,0.0,0.0,0,13.05,22.0,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
14340,6.1,3.8,0.0,0.0,0.0,0,13.03,22.1,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
14440,6.1,3.9,0.0,0.0,0.0,0,13.04,22.1,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
14540,6.1,3.9,0.0,0.0,0.0,0,13.04,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
14640,6.1,3.9,0.0,0.0,0.0,0,13.03,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
14740,6.1,3.8,0.0,0.0,0.0,0,13.05,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
14840,6.2,3.8,0.0,0.0,0.0,0,13.03,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
14940,6.1,3.9,0.0,0.0,0.0,0,13.04,22.1,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
15040,6.1,3.9,0.0,0.0,0.0,0,13.04,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
15140,6.1,3.8,0.0,0.0,0.0,0,13.05,22.2,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
15240,6.2,3.8,0.0,0.0,0.0,0,13.04,22.2,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
15340,6.2,3.8,0.0,0.0,0.0,0,13.05,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
15440,6.1,3.8,0.0,0.0,0.0,0,13.0,22.1,28.8,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
15540,6.1,3.8,0.0,0.0,0.0,0,13.03,22.1,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
15640,6.2,3.9,0.0,0.0,0.0,0,13.06,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
15740,6.2,3.8,0.0,0.0,0.0,0,13.03,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
15840,6.2,3.8,0.0,0.0,0.0,0,13.06,22.1,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
15940,6.1,3.8,0.0,0.0,0.0,0,13.06,22.1,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
16040,6.1,3.8,0.0,0.0,0.0,0,13.04,22.1,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
16140,6.2,3.8,0.0,0.0,0.0,0,13.02,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
16240,6.2,3.8,0.0,0.0,0.0,0,13.02,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
16340,6.1,3.8,0.0,0.0,0.0,0,13.03,22.1,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
16440,6.2,3.8,0.0,0.0,0.0,0,13.03,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
16540,6.1,3.8,0.0,0.0,0.0,0,13.03,22.1,28.7,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
16640,6.1,3.8,0.0,0.0,0.0,0,13.04,22.1,28.7,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
16740,6.1,3.9,0.0,0.0,0.0,0,13.0,22.1,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
16840,6.1,3.9,0.0,0.0,0.0,0,13.03,22.1,28.7,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
16940,6.1,3.9,0.0,0.0,0.0,0,13.02,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
17040,6.1,3.9,0.0,0.0,0.0,0,13.05,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
17140,6.1,3.9,0.0,0.0,0.0,0,13.04,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
17240,6.2,3.8,0.0,0.0,0.0,0,13.05,22.1,28.9,0,0,0x00,0,0x0000,0x00000000,0x00000800,41,FAULT_BLOCKED
17340,6.1,3.9,0.0,0.0,0.0,0,13.04,22.1,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
17440,6.2,3.8,0.0,0.0,0.0,0,13.01,22.1,28.7,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
17540,6.1,3.9,0.0,0.0,0.0,0,13.04,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
17640,6.2,3.9,0.0,0.0,0.0,0,13.03,22.1,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
17740,6.1,3.9,0.0,0.0,0.0,0,13.02,22.1,28.7,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
17840,6.1,3.8,0.0,0.0,0.0,0,13.07,22.1,28.7,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
17940,6.1,3.8,0.0,0.0,0.0,0,13.05,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
18040,6.1,3.8,0.0,0.0,0.0,0,13.03,22.1,28.8,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
18140,6.1,3.8,0.0,0.0,0.0,0,13.06,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
18240,6.1,3.9,0.0,0.0,0.0,0,13.06,22.1,28.9,0,0,0x00,0,0x0000,0x00000000,0x00000800,41,FAULT_BLOCKED
18340,6.1,3.8,0.0,0.0,0.0,0,13.05,22.1,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
18440,6.1,3.8,0.0,0.0,0.0,0,13.05,22.1,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
18540,6.1,3.8,0.0,0.0,0.0,0,13.02,22.1,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
18640,6.1,3.9,0.0,0.0,0.0,0,13.04,22.1,28.8,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
18740,6.2,3.8,0.0,0.0,0.0,0,13.01,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
18840,6.1,3.9,0.0,0.0,0.0,0,13.04,22.1,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
18940,6.1,3.8,0.0,0.0,0.0,0,13.04,22.1,28.8,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
19040,6.1,3.9,0.0,0.0,0.0,0,13.01,22.1,28.7,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
19140,6.1,3.9,0.0,0.0,0.0,0,13.03,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
19240,6.2,3.8,0.0,0.0,0.0,0,13.03,22.1,28.7,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
19340,6.1,3.9,0.0,0.0,0.0,0,13.04,22.1,28.8,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
19440,6.2,3.8,0.0,0.0,0.0,0,13.02,22.1,28.8,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
19540,6.1,3.9,0.0,0.0,0.0,0,13.05,22.1,28.8,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
19640,6.2,3.9,0.0,0.0,0.0,0,13.05,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
19740,6.1,3.9,0.0,0.0,0.0,0,13.04,22.1,28.4,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
19840,6.1,3.8,0.0,0.0,0.0,0,13.04,22.1,28.8,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
19940,6.2,3.9,0.0,0.0,0.0,0,13.05,22.1,28.9,0,0,0x00,0,0x0000,0x00000000,0x00000800,41,FAULT_BLOCKED
20040,6.1,3.8,0.0,0.0,0.0,0,13.06,22.1,28.5,0,0,0x00,0,0x0000,0x00000000,0x00000800,39,FAULT_BLOCKED
20140,6.1,3.8,0.0,0.0,0.0,0,13.05,22.1,28.8,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
20240,6.2,3.9,0.0,0.0,0.0,0,13.02,22.1,28.8,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
20340,6.1,3.8,0.0,0.0,0.0,0,13.04,22.1,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
20440,6.2,3.9,0.0,0.0,0.0,0,13.05,22.1,28.3,0,0,0x00,0,0x0000,0x00000000,0x00000800,38,FAULT_BLOCKED
20540,6.1,3.9,0.0,0.0,0.0,0,13.03,22.1,28.7,0,0,0x00,0,0x0000,0x00000000,0x00000800,40,FAULT_BLOCKED
