t_ms,apps1_pct,apps2_pct,pedal_pct,desired_torque_nm,power_kw,speed_mph,glv_voltage_v,inverter_temp_c,motor_temp_c,soc_pct,battery_temp_c,bms_flags_hex,bms_fault_code,imd_warn_alarms_hex,pm100_post_faults_hex,pm100_run_faults_hex,fan_duty_pct,rtd_state
3299,5.0,2.2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0x00,0,0x0000,0x00000000,0x00000000,20,FAULT_BLOCKED
3399,5.1,2.3,0.0,0.0,0.0,0,12.79,22.6,27.5,0,0,0x00,0,0x0000,0x00000000,0x00000000,33,FAULT_BLOCKED
3499,5.0,2.3,0.0,0.0,0.0,0,12.77,22.6,27.9,0,0,0x00,0,0x0000,0x00000000,0x00000000,35,FAULT_BLOCKED
3600,5.0,2.3,0.0,0.0,0.0,0,12.81,22.6,27.5,0,0,0x00,0,0x0000,0x00000000,0x00000000,33,FAULT_BLOCKED
3700,5.0,2.3,0.0,0.0,0.0,0,12.8,22.6,27.4,0,0,0x00,0,0x0000,0x00000000,0x00000000,33,FAULT_BLOCKED
3800,5.0,2.3,0.0,0.0,0.0,0,12.79,22.6,27.6,0,0,0x00,0,0x0200,0x00000000,0x00000000,34,FAULT_BLOCKED
3900,5.0,2.3,0.0,0.0,0.0,0,12.8,22.6,27.9,0,0,0x00,0,0x0200,0x00000000,0x00000000,35,FAULT_BLOCKED
4000,5.0,2.3,0.0,0.0,0.0,0,12.78,22.6,27.5,0,0,0x00,0,0x0200,0x00000000,0x00000000,33,FAULT_BLOCKED
4100,5.0,2.3,0.0,0.0,0.0,0,12.81,22.6,27.4,0,0,0x00,0,0x0200,0x00000000,0x00000000,33,FAULT_BLOCKED
4200,5.0,2.4,0.0,0.0,0.0,0,12.8,22.6,27.4,0,0,0x00,0,0x0200,0x00000000,0x00000000,33,FAULT_BLOCKED
4301,5.0,2.3,0.0,0.0,0.0,0,12.8,22.6,27.8,0,0,0x00,0,0x0200,0x00000000,0x00000000,35,FAULT_BLOCKED
4401,5.0,2.2,0.0,0.0,0.0,0,12.79,22.6,27.5,0,0,0x00,0,0x0200,0x00000000,0x00000000,33,FAULT_BLOCKED
4501,5.0,2.4,0.0,0.0,0.0,0,12.78,22.6,27.8,0,0,0x00,0,0x0200,0x00000000,0x00000000,35,FAULT_BLOCKED
4601,5.0,2.3,0.0,0.0,0.0,0,12.79,22.6,27.6,0,0,0x00,0,0x0200,0x00000000,0x00000000,34,FAULT_BLOCKED
