t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
3276,0.2098,-0.0085,0.8868,-6.46,7.82,0.0,26.92
3286,0.2104,-0.0074,0.8895,-6.44,7.82,0.0,26.91
3296,0.2111,-0.0098,0.8922,-6.43,7.82,-0.08,26.91
3306,0.2097,-0.0082,0.8954,-6.47,7.86,-0.02,26.9
3316,0.2141,-0.0093,0.8932,-6.41,7.82,0.02,26.92
3326,0.2112,-0.0073,0.8951,-6.46,7.88,-0.03,26.94
3336,0.2081,-0.0087,0.8917,-6.41,7.92,0.0,26.92
3346,0.2108,-0.0066,0.8894,-6.43,7.86,-0.08,26.93
3356,0.2125,-0.0072,0.8915,-6.41,7.91,-0.02,26.93
3366,0.2114,-0.005,0.8937,-6.41,7.91,0.02,26.91
3376,0.2107,-0.0077,0.8915,-6.47,7.85,-0.05,26.92
3386,0.2128,-0.006,0.8937,-6.58,7.86,-0.09,26.94
3397,0.2089,-0.0055,0.8965,-6.47,7.91,-0.11,26.94
3407,0.209,-0.006,0.8907,-6.5,7.88,-0.05,26.93
3417,0.2118,-0.0061,0.8887,-6.46,7.85,-0.05,26.94
3427,0.2087,-0.0068,0.8894,-6.6,7.86,-0.09,26.92
3437,0.2118,-0.0089,0.8942,-6.5,7.82,-0.02,26.95
3447,0.2114,-0.0076,0.8939,-6.4,7.92,-0.08,26.97
3457,0.209,-0.0128,0.8884,-6.47,7.88,0.0,26.94
3467,0.2125,-0.0112,0.89,-6.43,7.82,-0.08,26.94
3477,0.2113,-0.0074,0.8903,-6.44,7.83,-0.08,26.94
3487,0.2152,-0.0089,0.894,-6.49,7.85,-0.02,26.93
3497,0.2151,-0.0089,0.8953,-6.44,7.91,-0.08,26.94
3507,0.2112,-0.0079,0.8862,-6.52,7.89,-0.08,26.94
3517,0.2113,-0.0089,0.8875,-6.44,7.92,-0.06,26.96
3527,0.2126,-0.0074,0.8889,-6.49,7.86,-0.08,26.94
3537,0.2094,-0.0068,0.8961,-6.52,7.95,-0.08,26.95
3547,0.212,-0.0096,0.8934,-6.49,7.92,-0.06,26.94
3557,0.2101,-0.0063,0.8885,-6.5,7.94,0.0,26.94
3567,0.2109,-0.0092,0.8928,-6.41,7.88,-0.11,26.93
3577,0.2091,-0.0071,0.8895,-6.49,7.92,-0.06,26.96
3587,0.2123,-0.0056,0.8904,-6.43,7.86,-0.02,26.96
3597,0.2123,-0.007,0.8876,-6.43,7.83,-0.06,26.94
3607,0.2137,-0.0103,0.8915,-6.4,7.82,-0.06,26.93
3617,0.2128,-0.0066,0.8939,-6.52,7.83,-0.05,26.94
3627,0.2163,-0.0066,0.8931,-6.47,7.85,-0.03,26.94
3637,0.2125,-0.0079,0.8983,-6.49,7.83,0.0,26.95
3647,0.2142,-0.0056,0.8984,-6.5,7.92,-0.03,26.96
3657,0.2139,-0.0059,0.8961,-6.47,7.86,-0.02,26.96
3667,0.21,-0.0077,0.8928,-6.44,7.83,-0.08,26.95
3677,0.2087,-0.0071,0.8916,-6.41,7.86,-0.02,26.98
3687,0.2135,-0.0084,0.8989,-6.43,7.92,-0.06,26.94
3697,0.2119,-0.0094,0.8873,-6.49,7.85,0.03,26.98
3707,0.2063,-0.0076,0.8901,-6.44,7.85,-0.08,26.96
3717,0.2103,-0.0059,0.8892,-6.56,7.89,-0.09,26.93
3727,0.2122,-0.0067,0.8949,-6.41,7.85,-0.03,26.95
3737,0.2104,-0.0067,0.8889,-6.41,7.83,0.0,26.96
3747,0.2112,-0.0071,0.8889,-6.46,7.8,-0.03,26.94
3757,0.2124,-0.0029,0.8962,-6.49,7.82,-0.11,26.96
3767,0.2134,-0.004,0.8939,-6.44,7.85,-0.03,26.98
3777,0.2115,-0.0068,0.8934,-6.49,7.89,0.0,26.93
3787,0.2122,-0.0072,0.8929,-6.49,7.88,-0.02,26.97
3797,0.2111,-0.0043,0.8948,-6.55,7.94,-0.02,26.96
3807,0.2136,-0.0089,0.8917,-6.49,7.97,-0.05,26.96
3817,0.208,-0.0081,0.891,-6.56,7.83,-0.12,26.94
3827,0.207,-0.0083,0.8916,-6.47,7.88,-0.06,26.97
3837,0.2109,-0.0077,0.8942,-6.53,7.88,0.03,26.96
3847,0.2129,-0.0057,0.8887,-6.47,7.89,-0.06,26.95
3857,0.2126,-0.0062,0.8917,-6.47,7.83,-0.05,26.97
3867,0.2239,-0.0074,0.8815,-6.41,7.79,-0.05,26.97
3877,0.2178,-0.0054,0.8892,-6.52,7.83,-0.08,26.98
3887,0.2069,-0.0028,0.8943,-6.44,7.71,-0.02,26.99
3897,0.2104,-0.0065,0.892,-6.53,8.02,-0.09,26.98
3907,0.2068,-0.0072,0.8912,-6.41,7.85,-0.02,26.97
3917,0.2056,-0.0095,0.8975,-6.46,8.02,-0.12,26.97
3927,0.2069,-0.0065,0.8916,-6.55,7.79,-0.12,26.97
3937,0.2087,-0.0092,0.8927,-6.49,7.82,-0.03,26.94
3947,0.2081,-0.0067,0.8896,-6.43,7.8,-0.06,26.97
3957,0.2128,-0.0062,0.8909,-6.52,7.88,-0.09,26.98
3967,0.2114,-0.0082,0.8877,-6.38,7.8,-0.06,26.96
3977,0.2102,-0.0068,0.8926,-6.52,7.91,-0.06,26.99
3987,0.2108,-0.0095,0.8899,-6.47,7.92,-0.02,27.01
3997,0.2119,-0.0057,0.8921,-6.5,7.89,-0.11,26.99
4007,0.2102,-0.0059,0.8927,-6.41,7.91,-0.05,26.99
4017,0.2096,-0.0071,0.8918,-6.44,7.92,-0.12,27.0
4027,0.2095,-0.0045,0.8966,-6.53,7.85,-0.02,27.0
4037,0.2075,-0.0057,0.8955,-6.47,7.92,-0.08,27.0
4047,0.2124,-0.0101,0.8931,-6.43,7.79,-0.08,26.97
4057,0.2098,-0.0085,0.8931,-6.47,7.88,-0.08,27.01
4067,0.2126,-0.0085,0.8936,-6.44,7.97,-0.09,26.99
4077,0.2152,-0.0061,0.8948,-6.44,7.89,-0.08,26.99
4087,0.2111,-0.0082,0.8914,-6.52,7.85,-0.11,27.0
4097,0.2125,-0.009,0.8948,-6.52,7.85,-0.08,26.97
4107,0.2126,-0.0099,0.8909,-6.46,7.91,-0.05,26.98
4117,0.2097,-0.0074,0.8918,-6.44,7.94,0.0,27.01
4127,0.2146,-0.009,0.8918,-6.5,7.85,0.02,26.99
4137,0.2148,-0.0062,0.8944,-6.46,7.82,0.0,27.01
4147,0.2135,-0.0067,0.8885,-6.5,7.82,-0.06,26.97
4157,0.2062,-0.0059,0.8981,-6.58,7.97,-0.02,26.98
4167,0.2124,-0.0077,0.889,-6.52,7.86,-0.08,27.01
4177,0.2151,-0.0059,0.8889,-6.44,7.65,-0.05,27.02
4187,0.2094,-0.0068,0.8916,-6.46,7.86,-0.06,27.01
4197,0.2137,-0.007,0.8948,-6.46,7.91,-0.03,26.99
4207,0.214,-0.0042,0.897,-6.44,7.85,-0.05,26.99
4217,0.2123,-0.0081,0.8917,-6.53,7.85,-0.03,26.97
4227,0.2174,-0.01,0.8905,-6.5,7.8,-0.05,27.0
4237,0.2147,-0.0088,0.8959,-6.47,7.8,-0.02,27.01
4247,0.2125,-0.0055,0.8956,-6.47,7.79,-0.05,27.01
4257,0.2107,-0.0071,0.8905,-6.41,7.88,-0.09,27.0
4267,0.2117,-0.0074,0.8918,-6.5,7.83,-0.09,27.01
4278,0.2107,-0.006,0.8944,-6.5,7.88,-0.03,27.01
4288,0.2095,-0.0062,0.8918,-6.5,7.92,0.02,27.01
4298,0.2051,-0.0087,0.8938,-6.46,8.06,-0.02,27.0
4308,0.2074,-0.0074,0.8953,-6.5,8.02,-0.02,27.01
4318,0.2021,-0.0079,0.9,-6.44,8.14,-0.03,26.99
4328,0.2063,-0.0059,0.8937,-6.52,8.0,-0.12,27.02
4338,0.2097,-0.0065,0.8923,-6.53,7.88,-0.12,27.01
4348,0.2095,-0.0081,0.8915,-6.47,7.79,0.02,27.02
4358,0.2101,-0.0115,0.8896,-6.46,7.83,-0.35,27.02
4369,0.2095,-0.0083,0.8984,-6.49,7.89,-0.11,27.02
4379,0.2129,-0.0085,0.8918,-6.5,7.88,-0.03,27.02
4389,0.213,-0.0065,0.8922,-6.49,7.91,-0.06,27.01
4399,0.2122,-0.0035,0.8906,-6.41,7.82,0.0,27.02
4409,0.2119,-0.0096,0.8956,-6.5,7.94,-0.05,27.02
4419,0.2125,-0.0081,0.8931,-6.49,7.79,-0.06,27.01
4429,0.2124,-0.0084,0.8889,-6.5,7.83,-0.03,26.99
4439,0.2119,-0.0077,0.8901,-6.43,7.85,-0.09,27.02
4449,0.2137,-0.0099,0.8893,-6.47,7.83,-0.08,27.01
4459,0.213,-0.0076,0.8966,-6.49,7.89,-0.06,27.04
4469,0.2126,-0.0046,0.8922,-6.47,7.85,-0.08,27.03
4479,0.2118,-0.0063,0.8931,-6.49,7.88,-0.03,27.01
4489,0.2112,-0.0095,0.8926,-6.41,7.83,-0.03,27.01
4499,0.2129,-0.0078,0.8895,-6.4,7.89,-0.02,27.01
4509,0.21,-0.009,0.8933,-6.46,7.8,0.03,27.01
4519,0.2107,-0.0057,0.8928,-6.53,7.92,-0.02,27.0
4529,0.2139,-0.0082,0.8909,-6.55,7.94,0.0,26.99
4539,0.2148,-0.0094,0.8934,-6.47,7.86,-0.05,27.04
4549,0.2115,-0.0085,0.8881,-6.47,7.85,-0.08,27.01
4559,0.2106,-0.0084,0.8904,-6.5,7.88,-0.09,27.03
4569,0.2153,-0.0082,0.9003,-6.38,7.85,-0.05,27.03
4579,0.2074,-0.0078,0.892,-6.4,7.98,-0.08,27.03
4589,0.2134,-0.0057,0.8932,-6.44,7.76,-0.03,27.05
