t_ms,min_cell_mv,max_cell_mv,avg_cell_mv,min_cell_temp_c,max_cell_temp_c,avg_cell_temp_c,imd_riso_kohm,imd_riso_status,cell_v_valid,cell_t_valid,glv_valid
3284,0,0,0,-1000,-1000,-1000,65535,0,0,0,0
4284,0,0,0,-1000,-1000,-1000,8340,252,0,0,1
5284,0,0,0,-1000,-1000,-1000,13932,252,0,0,1
6284,0,0,0,-1000,-1000,-1000,15512,252,0,0,1
7284,4070,4126,4118,23,24,24,15889,252,1,1,1
8285,4070,4126,4118,23,24,24,15926,252,1,1,1
9285,4070,4126,4118,23,24,24,15967,252,1,1,1
10285,4070,4126,4118,23,24,24,20865,253,1,1,1
11285,4070,4126,4118,23,24,24,20865,253,1,1,1
12286,4070,4126,4118,23,24,24,20865,253,1,1,1
13286,4070,4126,4118,23,24,24,20865,253,1,1,1
14286,4070,4126,4118,23,24,24,20865,253,1,1,1
15286,4070,4126,4118,23,24,24,20865,253,1,1,1
16287,4070,4126,4118,23,24,24,20865,253,1,1,1
17287,4070,4126,4118,23,24,24,20865,253,1,1,1
18288,4070,4126,4118,23,24,24,20865,253,1,1,1
19288,4070,4126,4118,23,24,24,20865,253,1,1,1
20288,4070,4126,4118,23,24,24,20865,253,1,1,1
21288,4070,4126,4118,23,24,24,20865,253,1,1,1
22288,4070,4126,4118,23,24,24,20865,253,1,1,1
23288,4070,4126,4118,23,24,24,20865,253,1,1,1
24288,4070,4126,4118,23,24,24,20865,253,1,1,1
25288,4070,4126,4118,23,24,24,20865,253,1,1,1
26288,4070,4126,4118,23,24,24,20865,253,1,1,1
27288,4070,4126,4118,23,24,24,20865,253,1,1,1
28288,4070,4126,4118,23,24,24,20865,253,1,1,1
29288,4070,4126,4118,23,24,24,20865,253,1,1,1
30288,4070,4126,4118,23,24,24,20865,253,1,1,1
31288,4070,4126,4118,23,24,24,20865,253,1,1,1
32288,4070,4126,4118,23,24,24,20865,253,1,1,1
33288,4070,4126,4118,23,24,24,20865,253,1,1,1
34288,4070,4126,4118,23,24,24,20865,253,1,1,1
35288,4070,4126,4118,23,24,24,20865,253,1,1,1
36288,4070,4126,4118,23,24,24,20865,253,1,1,1
37288,4069,4125,4117,23,24,24,20865,253,1,1,1
38288,4069,4125,4117,23,24,24,20865,253,1,1,1
39288,4069,4125,4117,23,24,24,20865,253,1,1,1
40288,4069,4125,4117,23,24,24,20865,253,1,1,1
41288,4069,4125,4117,23,24,24,20865,253,1,1,1
42290,4065,4121,4113,23,24,24,20865,253,1,1,1
43290,4065,4121,4113,23,24,24,20865,253,1,1,1
44290,4065,4121,4113,23,24,24,20865,253,1,1,1
45291,4065,4121,4113,23,24,24,20865,253,1,1,1
46292,4065,4121,4113,23,24,24,20865,253,1,1,1
47293,4064,4120,4112,23,24,24,20865,253,1,1,1
48293,4061,4116,4108,23,24,24,20865,253,1,1,1
49293,4063,4118,4110,23,24,24,20865,253,1,1,1
50293,4064,4119,4111,23,24,24,20865,253,1,1,1
51294,4064,4119,4111,23,24,24,23961,253,1,1,1
52295,4067,4122,4114,23,24,24,23961,253,1,1,1
53295,4067,4122,4114,23,24,24,23961,253,1,1,1
54295,4067,4122,4114,23,24,24,23961,253,1,1,1
55305,4067,4122,4114,23,24,24,23961,253,1,1,1
56306,4067,4122,4114,23,24,24,23961,253,1,1,1
57306,4067,4123,4115,23,24,24,23961,253,1,1,1
58306,4067,4123,4115,23,24,24,23961,253,1,1,1
59306,4068,4123,4115,23,24,24,23961,253,1,1,1
60306,4068,4123,4115,23,24,24,25302,253,1,1,1
61306,4068,4123,4115,23,24,24,25302,253,1,1,1
62306,4068,4123,4115,23,24,24,25302,253,1,1,1
63307,4068,4123,4115,23,24,24,25302,253,1,1,1
64307,4068,4123,4115,23,24,24,25302,253,1,1,1
65307,4068,4123,4115,23,24,24,25302,253,1,1,1
66308,4068,4123,4115,23,24,24,25302,253,1,1,1
67308,4068,4123,4115,23,24,24,25302,253,1,1,1
68308,4068,4123,4115,23,24,24,25302,253,1,1,1
69308,4068,4123,4115,23,24,24,27655,253,1,1,1
70308,4068,4123,4115,23,24,24,27655,253,1,1,1
71308,4068,4123,4115,23,24,24,27655,253,1,1,1
72308,4068,4123,4115,23,24,24,27655,253,1,1,1
73308,4068,4123,4115,23,24,24,27655,253,1,1,1
74308,4068,4123,4115,23,24,24,27655,253,1,1,1
75309,4068,4123,4115,23,24,24,27655,253,1,1,1
76309,4068,4123,4115,23,24,24,27655,253,1,1,1
77310,4068,4123,4116,23,24,24,29383,253,1,1,1
78310,4068,4123,4116,23,24,24,29383,253,1,1,1
79310,4068,4123,4115,23,24,24,29383,253,1,1,1
80310,4068,4123,4115,23,24,24,29383,253,1,1,1
81310,4068,4123,4115,23,24,24,29383,253,1,1,1
82310,4068,4123,4116,23,24,24,29383,253,1,1,1
83310,4068,4123,4116,23,24,24,29383,253,1,1,1
84314,4068,4123,4116,23,24,24,29383,253,1,1,1
85319,4068,4123,4116,23,24,24,29383,253,1,1,1
86319,4068,4123,4116,23,24,24,30712,253,1,1,1
87319,3897,3942,3935,23,24,24,30712,253,1,1,1
88319,4053,4105,4098,23,24,24,30712,253,1,1,1
89319,4057,4109,4102,23,24,24,30712,253,1,1,1
90319,4059,4111,4104,23,24,24,30712,253,1,1,1
91319,4060,4112,4105,23,24,24,30712,254,1,1,1
92319,4061,4114,4106,23,24,24,30712,254,1,1,1
93319,4061,4114,4106,23,24,24,30712,254,1,1,1
94320,4061,4114,4106,23,24,24,30712,254,1,1,1
95320,4061,4114,4106,23,24,24,30712,254,1,1,1
96320,4061,4114,4106,23,24,24,30712,254,1,1,1
97320,4064,4117,4109,23,24,24,30712,254,1,1,1
98320,4064,4117,4109,23,24,24,30712,254,1,1,1
99320,4065,4117,4110,23,24,24,30712,254,1,1,1
100320,4065,4118,4110,23,24,24,30712,254,1,1,1
101320,4064,4117,4110,23,24,24,30712,254,1,1,1
102320,4065,4117,4110,23,24,24,30712,254,1,1,1
103320,4065,4117,4110,23,24,24,30712,254,1,1,1
104320,4065,4117,4110,23,24,24,30712,254,1,1,1
105320,4065,4117,4110,23,24,24,30712,254,1,1,1
106320,4065,4117,4110,23,24,24,30712,254,1,1,1
107320,4055,4107,4100,23,24,24,30712,254,1,1,1
108320,4056,4108,4100,23,24,24,30712,254,1,1,1
109321,4057,4109,4102,23,24,24,30712,254,1,1,1
110321,4058,4110,4102,23,24,24,30712,254,1,1,1
111321,4057,4109,4102,23,24,24,30712,254,1,1,1
112321,4049,4101,4093,23,24,24,30712,254,1,1,1
113321,4049,4101,4093,23,24,24,30712,254,1,1,1
114321,4049,4101,4093,23,24,24,30712,254,1,1,1
115324,4049,4101,4093,23,24,24,30712,254,1,1,1
116324,4049,4101,4093,23,24,24,30712,254,1,1,1
117324,4061,4113,4105,23,24,24,30712,254,1,1,1
118324,4062,4115,4107,23,24,24,30712,254,1,1,1
119326,4061,4113,4106,23,24,24,30712,254,1,1,1
120328,4062,4114,4107,23,24,24,30712,254,1,1,1
121329,4060,4111,4104,23,24,24,30712,254,1,1,1
122331,4061,4113,4105,23,24,24,28957,254,1,1,1
123331,4061,4113,4105,23,24,24,28957,254,1,1,1
124331,4061,4113,4105,23,24,24,28957,254,1,1,1
125331,4061,4113,4105,23,24,24,28957,254,1,1,1
126331,4061,4113,4105,23,24,24,28957,254,1,1,1
127331,4061,4113,4106,23,24,24,28957,254,1,1,1
128331,4063,4115,4108,23,24,24,28957,254,1,1,1
129335,4064,4116,4109,23,24,24,28957,254,1,1,1
130335,4065,4116,4109,23,24,24,26549,254,1,1,1
131335,4065,4116,4109,23,24,24,26549,254,1,1,1
132335,4065,4117,4109,23,24,24,26549,254,1,1,1
133335,4065,4117,4109,23,24,24,26549,254,1,1,1
134335,4065,4117,4109,23,24,24,26549,254,1,1,1
135335,4065,4117,4109,23,24,24,26549,254,1,1,1
136335,4065,4117,4109,23,24,24,26549,254,1,1,1
137335,4066,4118,4111,23,24,24,26549,254,1,1,1
138336,4066,4119,4111,23,24,24,26549,254,1,1,1
