t_ms,min_cell_mv,max_cell_mv,avg_cell_mv,min_cell_temp_c,max_cell_temp_c,avg_cell_temp_c,imd_riso_kohm,imd_riso_status,cell_v_valid,cell_t_valid,glv_valid
3295,0,0,0,-1000,-1000,-1000,65535,0,0,0,0
4295,0,0,0,-1000,-1000,-1000,6311,252,0,0,1
5295,0,0,0,-1000,-1000,-1000,8976,252,0,0,1
6295,0,0,0,-1000,-1000,-1000,10772,252,0,0,1
7295,4074,4131,4122,22,22,22,9503,252,1,1,1
8295,4074,4131,4122,22,22,22,64255,252,1,1,1
9295,4074,4131,4122,22,22,22,18175,252,1,1,1
10295,4074,4131,4122,22,22,22,15622,252,1,1,1
11295,4074,4131,4122,22,22,22,15121,252,1,1,1
12295,4074,4131,4122,22,22,22,14651,252,1,1,1
13295,4074,4131,4122,22,22,22,14557,252,1,1,1
14295,4074,4131,4122,22,22,22,19183,253,1,1,1
15295,4074,4131,4122,22,22,22,19183,253,1,1,1
16295,4074,4131,4122,22,22,22,19183,253,1,1,1
17295,4074,4131,4122,22,22,22,19183,253,1,1,1
18295,4074,4130,4122,22,22,22,19183,253,1,1,1
19296,4074,4131,4122,22,22,22,19183,253,1,1,1
20296,4074,4131,4122,22,22,22,19183,253,1,1,1
21296,4074,4131,4122,22,22,22,19183,253,1,1,1
22296,4074,4131,4122,22,22,22,19183,253,1,1,1
23296,4074,4131,4122,22,22,22,19183,253,1,1,1
24296,4074,4131,4122,22,22,22,19183,253,1,1,1
25296,4074,4131,4122,22,22,22,19183,253,1,1,1
26296,4074,4131,4122,22,22,22,19183,253,1,1,1
27296,4074,4131,4122,22,22,22,19183,253,1,1,1
28296,4074,4131,4122,22,22,22,19183,253,1,1,1
29296,4074,4131,4122,22,22,22,19183,253,1,1,1
30296,4074,4131,4122,22,22,22,19183,253,1,1,1
31296,4074,4131,4122,22,22,22,19183,253,1,1,1
32296,4074,4131,4122,22,22,22,19183,253,1,1,1
33296,4074,4131,4122,22,22,22,19183,253,1,1,1
34296,4074,4131,4122,22,22,22,19183,253,1,1,1
35296,4074,4131,4122,22,22,22,19183,253,1,1,1
36296,4074,4131,4122,22,22,22,19183,253,1,1,1
37296,4074,4131,4122,22,22,22,19183,253,1,1,1
38296,4074,4131,4122,22,22,22,19183,253,1,1,1
39296,4074,4131,4122,22,22,22,19183,253,1,1,1
40296,4074,4131,4122,22,22,22,19183,253,1,1,1
41296,4074,4131,4122,22,22,22,19183,253,1,1,1
42296,4074,4131,4122,22,22,22,19183,253,1,1,1
43296,4074,4131,4122,22,22,22,19183,253,1,1,1
