t_ms,apps1_pct,apps2_pct,pedal_pct,desired_torque_nm,power_kw,speed_mph,glv_voltage_v,inverter_temp_c,motor_temp_c,soc_pct,battery_temp_c,bms_flags_hex,bms_fault_code,imd_warn_alarms_hex,pm100_post_faults_hex,pm100_run_faults_hex,fan_duty_pct,rtd_state
3275,4.7,3.4,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0x00,0,0x0000,0x00000000,0x00000000,20,FAULT_BLOCKED
3375,4.8,3.4,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0x00,0,0x0000,0x00000000,0x00000000,20,FAULT_BLOCKED
3475,4.8,3.5,0.0,0.0,0.0,0,12.7,22.1,27.0,0,0,0x00,0,0x0000,0x00000000,0x00000000,31,FAULT_BLOCKED
3575,4.8,3.4,0.0,0.0,0.0,0,12.72,22.1,27.5,0,0,0x00,0,0x0000,0x00000000,0x00000000,33,FAULT_BLOCKED
3675,4.8,3.4,0.0,0.0,0.0,0,12.69,22.1,27.0,0,0,0x00,0,0x0000,0x00000000,0x00000000,31,FAULT_BLOCKED
3775,4.8,3.4,0.0,0.0,0.0,0,12.74,22.2,27.1,0,0,0x00,0,0x0200,0x00000000,0x00000000,31,FAULT_BLOCKED
3875,4.8,3.4,0.0,0.0,0.0,0,12.7,22.1,27.0,0,0,0x00,0,0x0200,0x00000000,0x00000000,31,FAULT_BLOCKED
3975,4.9,3.5,0.0,0.0,0.0,0,12.74,22.1,27.0,0,0,0x00,0,0x0200,0x00000000,0x00000000,31,FAULT_BLOCKED
4075,4.8,3.5,0.0,0.0,0.0,0,12.7,22.1,26.8,0,0,0x00,0,0x0200,0x00000000,0x00000000,30,FAULT_BLOCKED
4175,4.8,3.4,0.0,0.0,0.0,0,12.73,22.1,27.0,0,0,0x00,0,0x0200,0x00000000,0x00000000,31,FAULT_BLOCKED
4275,4.8,3.4,0.0,0.0,0.0,0,12.75,22.1,27.0,0,0,0x00,0,0x0200,0x00000000,0x00000000,31,FAULT_BLOCKED
4375,4.8,3.5,0.0,0.0,0.0,0,12.76,22.1,27.2,0,0,0x00,0,0x0200,0x00000000,0x00000000,32,FAULT_BLOCKED
4475,4.8,3.5,0.0,0.0,0.0,0,12.77,22.1,26.7,0,0,0x00,0,0x0200,0x00000000,0x00000000,29,FAULT_BLOCKED
4575,4.8,3.4,0.0,0.0,0.0,0,12.78,22.1,26.8,0,0,0x00,0,0x0200,0x00000000,0x00000000,30,FAULT_BLOCKED
4675,4.8,3.5,0.0,0.0,0.0,0,12.73,22.1,26.8,0,0,0x00,0,0x0200,0x00000000,0x00000000,30,FAULT_BLOCKED
4775,4.8,3.5,0.0,0.0,0.0,0,12.74,22.1,27.1,0,0,0x00,0,0x0000,0x00000000,0x00000000,31,FAULT_BLOCKED
4875,4.8,3.5,0.0,0.0,0.0,0,12.74,22.1,27.1,0,0,0x00,0,0x0000,0x00000000,0x00000000,31,FAULT_BLOCKED
4975,4.8,3.5,0.0,0.0,0.0,0,13.0,22.1,26.8,0,0,0x00,0,0x0000,0x00000000,0x00000000,30,FAULT_BLOCKED
5075,4.8,3.5,0.0,0.0,0.0,0,12.69,22.1,27.0,0,0,0x00,0,0x0000,0x00000000,0x00000000,31,FAULT_BLOCKED
5175,4.8,3.5,0.0,0.0,0.0,0,12.89,22.1,26.8,0,0,0x00,0,0x0000,0x00000000,0x00000000,30,FAULT_BLOCKED
5275,4.8,3.5,0.0,0.0,0.0,0,12.7,22.1,26.8,0,0,0x00,0,0x0000,0x00000000,0x00000000,30,FAULT_BLOCKED
5375,4.8,3.5,0.0,0.0,0.0,0,12.72,22.1,27.0,0,0,0x00,0,0x0000,0x00000000,0x00000000,31,FAULT_BLOCKED
5475,4.8,3.4,0.0,0.0,0.0,0,12.7,22.1,27.0,0,0,0x00,0,0x0000,0x00000000,0x00000000,31,FAULT_BLOCKED
5575,4.8,3.4,0.0,0.0,0.0,0,12.73,22.1,27.0,0,0,0x00,0,0x0000,0x00000000,0x00000000,31,FAULT_BLOCKED
5675,4.8,3.5,0.0,0.0,0.0,0,12.7,22.1,26.8,0,0,0x00,0,0x0000,0x00000000,0x00000000,30,FAULT_BLOCKED
5775,4.8,3.4,0.0,0.0,0.0,0,12.7,22.1,27.2,0,0,0x00,0,0x0000,0x00000000,0x00000000,32,FAULT_BLOCKED
5875,4.9,3.5,0.0,0.0,0.0,0,12.65,22.1,27.2,0,0,0x00,0,0x0000,0x00000000,0x00000000,32,FAULT_BLOCKED
5975,4.9,3.5,0.0,0.0,0.0,0,12.82,22.1,26.7,0,0,0x00,0,0x0000,0x00000000,0x00000000,29,FAULT_BLOCKED
6075,4.9,3.5,0.0,0.0,0.0,0,12.92,22.1,26.8,0,0,0x00,0,0x0000,0x00000000,0x00000000,30,FAULT_BLOCKED
6175,4.9,3.5,0.0,0.0,0.0,0,12.89,22.1,26.6,0,0,0x00,0,0x0000,0x00000000,0x00000000,29,FAULT_BLOCKED
6275,4.8,3.5,0.0,0.0,0.0,0,12.65,22.1,26.6,0,0,0x00,0,0x0000,0x00000000,0x00000000,29,FAULT_BLOCKED
6375,4.9,3.4,0.0,0.0,0.0,0,12.83,22.1,26.6,0,0,0x00,0,0x0000,0x00000000,0x00000000,29,FAULT_BLOCKED
6475,4.9,3.5,0.0,0.0,0.0,0,12.83,22.1,26.6,50,0,0x00,0,0x0000,0x00000000,0x00000000,29,FAULT_BLOCKED
6575,4.9,3.5,0.0,0.0,0.0,0,12.66,22.0,26.6,50,0,0x00,0,0x0000,0x00000000,0x00000000,29,FAULT_BLOCKED
6675,4.9,3.5,0.0,0.0,0.0,0,12.69,22.0,27.1,50,0,0x00,0,0x0000,0x00000000,0x00000000,31,FAULT_BLOCKED
6775,5.0,3.5,0.0,0.0,0.0,0,12.67,22.0,27.0,50,0,0x00,0,0x0000,0x00000000,0x00000000,31,FAULT_BLOCKED
6875,5.0,3.5,0.0,0.0,0.0,0,12.72,22.1,27.0,50,0,0x00,0,0x0000,0x00000000,0x00000000,31,FAULT_BLOCKED
6975,5.0,3.5,0.0,0.0,0.0,0,12.82,22.0,27.0,100,27,0x00,0,0x0000,0x00000000,0x00000000,31,FAULT_BLOCKED
7075,5.0,3.5,0.0,0.0,0.0,0,12.67,22.0,26.7,100,27,0x00,0,0x0000,0x00000000,0x00000000,29,FAULT_BLOCKED
7175,5.0,3.5,0.0,0.0,0.0,0,12.7,22.0,27.1,100,27,0x00,0,0x0000,0x00000000,0x00000000,31,FAULT_BLOCKED
7275,4.9,3.5,0.0,0.0,0.0,0,12.72,22.0,27.0,100,27,0x00,0,0x0000,0x00000000,0x00000000,31,FAULT_BLOCKED
7375,4.9,3.4,0.0,0.0,0.0,0,12.82,22.0,26.6,100,27,0x00,0,0x0000,0x00000000,0x00000000,29,FAULT_BLOCKED
7475,4.9,3.5,0.0,0.0,0.0,0,12.7,22.0,26.6,100,27,0x00,0,0x0000,0x00000000,0x00000000,29,FAULT_BLOCKED
7575,5.0,3.5,0.0,0.0,0.0,0,12.69,22.0,26.6,100,27,0x00,0,0x0000,0x00000000,0x00000000,29,FAULT_BLOCKED
