t_ms,min_cell_mv,max_cell_mv,avg_cell_mv,min_cell_temp_c,max_cell_temp_c,avg_cell_temp_c,imd_riso_kohm,imd_riso_status,cell_v_valid,cell_t_valid,glv_valid
3284,0,0,0,-1000,-1000,-1000,65535,0,0,0,0
4284,0,0,0,-1000,-1000,-1000,8060,252,0,0,1
5284,0,0,0,-1000,-1000,-1000,12726,252,0,0,1
6284,0,0,0,-1000,-1000,-1000,14452,252,0,0,1
7284,4071,4128,4120,23,24,23,15199,252,1,1,1
8284,4072,4128,4120,23,24,23,15554,252,1,1,1
9284,4071,4128,4120,23,24,23,15606,252,1,1,1
10284,4071,4128,4120,23,24,23,20396,253,1,1,1
11284,4071,4128,4120,23,24,23,20396,253,1,1,1
12284,4071,4128,4120,23,24,23,20396,253,1,1,1
13284,4071,4128,4120,23,24,23,20396,253,1,1,1
14284,4071,4128,4120,23,24,23,20396,253,1,1,1
15284,4071,4128,4120,23,24,23,20396,253,1,1,1
16284,4071,4128,4120,23,24,23,20396,253,1,1,1
17284,4071,4128,4120,23,24,23,20396,253,1,1,1
18284,4071,4128,4120,23,24,23,20396,253,1,1,1
19284,4071,4129,4120,23,24,23,20396,253,1,1,1
20284,4071,4128,4120,23,24,23,20396,253,1,1,1
21284,4071,4128,4120,23,24,23,20396,253,1,1,1
22284,4071,4128,4120,23,24,23,20396,253,1,1,1
23284,4071,4128,4120,23,24,23,20396,253,1,1,1
24284,4071,4128,4120,23,24,23,20396,253,1,1,1
25284,4071,4128,4120,23,24,23,20396,253,1,1,1
26284,4071,4128,4120,23,24,23,20396,253,1,1,1
27284,4071,4128,4120,23,24,23,20396,253,1,1,1
28284,4071,4128,4120,23,24,23,20396,253,1,1,1
29284,4071,4128,4120,23,24,23,20396,253,1,1,1
30284,4071,4128,4120,23,24,23,20396,253,1,1,1
31284,4071,4128,4120,23,24,23,20396,253,1,1,1
32284,4071,4128,4120,23,24,23,20396,253,1,1,1
33284,4071,4128,4120,23,24,23,20396,253,1,1,1
34284,4071,4128,4120,23,24,23,20396,253,1,1,1
35284,4071,4128,4120,23,24,23,20396,253,1,1,1
36284,4071,4128,4120,23,24,23,20396,253,1,1,1
37284,4071,4128,4120,23,24,23,20396,253,1,1,1
38284,4071,4128,4120,23,24,23,20396,253,1,1,1
39284,4071,4128,4120,23,24,23,20396,253,1,1,1
40284,4071,4128,4120,23,24,23,20396,253,1,1,1
41284,4071,4128,4120,23,24,23,20396,253,1,1,1
42284,4071,4128,4120,23,24,23,20396,253,1,1,1
43284,4071,4128,4120,23,24,23,20396,253,1,1,1
44284,4071,4128,4120,23,24,23,20396,253,1,1,1
45284,4071,4128,4120,23,24,23,22407,253,1,1,1
46284,4071,4128,4120,23,24,23,22407,253,1,1,1
47284,4071,4128,4120,23,24,23,22407,253,1,1,1
48284,4071,4128,4120,23,24,23,22407,253,1,1,1
49285,4071,4128,4120,23,24,23,22407,253,1,1,1
50285,4071,4128,4120,23,24,23,22407,253,1,1,1
51285,4071,4128,4120,23,24,23,22407,253,1,1,1
52285,4071,4128,4120,23,24,23,22407,253,1,1,1
53285,4071,4128,4120,23,24,23,22407,253,1,1,1
54285,4071,4128,4120,23,24,23,22407,253,1,1,1
55285,4071,4128,4120,23,24,23,22407,253,1,1,1
56285,4071,4128,4120,23,24,23,25719,253,1,1,1
57285,4071,4128,4120,23,24,23,25719,253,1,1,1
58285,4071,4128,4120,23,24,23,25719,253,1,1,1
59285,4071,4128,4120,23,24,23,25719,253,1,1,1
60285,4071,4128,4120,23,24,23,25719,253,1,1,1
61285,4071,4128,4120,23,24,23,25719,253,1,1,1
62285,4071,4128,4120,23,24,23,25719,253,1,1,1
63285,4071,4128,4120,23,24,23,25719,253,1,1,1
64285,4071,4128,4120,23,24,23,25719,253,1,1,1
65285,4071,4128,4120,23,24,23,25719,253,1,1,1
66285,4071,4128,4120,23,24,23,25719,253,1,1,1
