t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
3354,0.3438,-0.0106,0.858,-6.12,7.83,0.02,22.61
3365,0.3414,-0.0085,0.8613,-6.18,7.77,-0.06,22.59
3375,0.3418,-0.01,0.8606,-6.23,7.79,0.02,22.59
3385,0.3396,-0.011,0.858,-6.11,7.74,0.06,22.6
3395,0.3412,-0.0087,0.8552,-6.14,7.76,0.03,22.6
3405,0.3442,-0.0095,0.8591,-6.2,7.73,0.05,22.6
3415,0.3442,-0.0093,0.8575,-6.11,7.77,0.0,22.59
3425,0.3414,-0.0098,0.8591,-6.09,7.69,0.02,22.61
3435,0.3409,-0.0107,0.8546,-6.12,7.79,0.05,22.6
3445,0.3419,-0.0067,0.8618,-6.15,7.8,-0.08,22.59
3455,0.3405,-0.0106,0.855,-6.14,7.8,-0.03,22.58
3465,0.3417,-0.0111,0.8589,-6.23,7.85,0.0,22.61
3475,0.3397,-0.0098,0.8605,-6.09,7.8,-0.02,22.6
3485,0.3396,-0.0085,0.8599,-6.11,7.77,0.03,22.6
3495,0.3406,-0.0092,0.8589,-6.14,7.82,-0.12,22.61
3505,0.3435,-0.0114,0.8618,-6.12,7.69,-0.03,22.61
3515,0.344,-0.0073,0.8635,-6.23,7.68,-0.03,22.6
3525,0.3395,-0.0076,0.8624,-6.2,7.73,-0.03,22.61
3535,0.3398,-0.0095,0.8627,-6.17,7.77,-0.06,22.6
3545,0.3427,-0.0089,0.8567,-6.12,7.77,0.02,22.6
3555,0.3431,-0.0109,0.8577,-6.15,7.74,0.03,22.62
3565,0.3389,-0.0095,0.8568,-6.17,7.69,0.02,22.6
3575,0.3416,-0.0074,0.8605,-6.15,7.59,0.05,22.62
3585,0.3402,-0.0095,0.8578,-6.09,7.76,-0.09,22.61
3595,0.3439,-0.0098,0.863,-6.26,7.86,-0.02,22.63
3605,0.3428,-0.0101,0.8593,-6.11,7.77,0.0,22.64
