t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
3302,0.328,-0.0215,0.8613,-6.73,7.89,0.0,30.37
3313,0.3268,-0.0284,0.8625,-6.78,7.91,-0.06,30.39
3323,0.3278,-0.0262,0.8651,-6.76,8.03,-0.06,30.38
3333,0.3286,-0.0267,0.8646,-6.85,7.98,-0.12,30.39
3343,0.3282,-0.0227,0.8671,-6.81,7.97,-0.08,30.37
3353,0.3264,-0.0258,0.8621,-6.69,7.86,-0.06,30.38
3363,0.3289,-0.0256,0.8673,-6.79,7.88,-0.02,30.37
3373,0.3242,-0.0221,0.8641,-6.78,7.92,-0.03,30.38
3383,0.3289,-0.0269,0.866,-6.79,7.95,-0.11,30.38
3394,0.3293,-0.0228,0.8647,-6.6,7.89,-0.11,30.39
3404,0.3292,-0.0271,0.8623,-6.72,7.97,0.02,30.38
3414,0.3281,-0.027,0.8634,-6.7,7.98,-0.02,30.37
3424,0.3253,-0.0271,0.8657,-6.76,7.94,-0.09,30.4
3434,0.3269,-0.0259,0.869,-6.7,7.89,-0.05,30.39
3444,0.3282,-0.0261,0.8655,-6.7,8.02,0.05,30.39
3455,0.3284,-0.0264,0.8647,-6.78,7.97,-0.08,30.39
3465,0.327,-0.0262,0.8663,-6.72,7.88,-0.08,30.39
3475,0.3273,-0.0266,0.8687,-6.78,7.97,-0.08,30.41
3485,0.3276,-0.0258,0.8639,-6.69,7.91,0.0,30.39
3495,0.3291,-0.0244,0.8669,-6.73,7.94,0.06,30.4
3505,0.3295,-0.0247,0.87,-6.81,8.02,0.03,30.39
3515,0.3267,-0.0244,0.8635,-6.78,7.95,0.03,30.38
3525,0.33,-0.027,0.8666,-6.78,8.06,0.0,30.38
3535,0.3256,-0.0281,0.8682,-6.79,7.94,-0.06,30.37
3545,0.325,-0.028,0.868,-6.75,7.97,0.03,30.39
3555,0.3301,-0.0262,0.8673,-6.78,7.97,0.02,30.42
3565,0.327,-0.0259,0.8602,-6.76,7.88,-0.05,30.41
3575,0.3303,-0.0269,0.8649,-6.73,8.0,-0.08,30.39
3585,0.3278,-0.0265,0.8607,-6.78,8.03,0.03,30.38
3595,0.3274,-0.0264,0.8652,-6.78,8.03,-0.03,30.42
3605,0.3284,-0.026,0.8694,-6.72,7.95,0.0,30.41
3615,0.3292,-0.0265,0.8691,-6.81,8.02,-0.08,30.38
3625,0.3301,-0.0232,0.8652,-6.76,7.97,0.05,30.39
3635,0.3289,-0.0238,0.864,-6.67,7.83,-0.02,30.4
3645,0.3296,-0.0265,0.8633,-6.7,7.94,-0.09,30.42
3655,0.3286,-0.0262,0.8629,-6.79,7.95,0.0,30.38
3665,0.3286,-0.0247,0.8644,-6.76,7.98,0.0,30.4
3675,0.3268,-0.0277,0.8696,-6.72,8.02,0.06,30.39
3685,0.3282,-0.0248,0.8656,-6.69,7.97,-0.02,30.4
3695,0.3262,-0.0238,0.8661,-6.79,8.0,0.0,30.4
3705,0.3293,-0.0256,0.8678,-6.76,7.91,-0.03,30.4
3715,0.3274,-0.0256,0.8639,-6.78,7.94,0.11,30.41
3725,0.3235,-0.025,0.8668,-6.81,8.02,0.03,30.41
3735,0.3269,-0.0267,0.866,-6.81,8.0,-0.02,30.4
3745,0.3286,-0.0267,0.8646,-6.7,7.97,-0.06,30.39
3755,0.3284,-0.0247,0.8655,-6.75,8.0,-0.05,30.39
3765,0.3262,-0.0272,0.8667,-6.7,8.02,-0.02,30.39
3775,0.3285,-0.0262,0.8666,-6.76,7.94,-0.03,30.42
3785,0.3273,-0.0269,0.8661,-6.76,7.91,0.0,30.39
3795,0.3279,-0.0258,0.8655,-6.84,7.98,-0.03,30.39
3805,0.329,-0.0247,0.8622,-6.76,7.92,0.05,30.41
3815,0.328,-0.0256,0.8607,-6.76,8.0,-0.08,30.42
3825,0.3279,-0.0262,0.8657,-6.73,7.95,-0.09,30.43
3835,0.3253,-0.0259,0.8677,-6.7,7.97,-0.02,30.39
3845,0.3278,-0.0272,0.8645,-6.64,8.0,-0.06,30.42
3855,0.3286,-0.0277,0.8616,-6.72,7.97,-0.09,30.39
3865,0.3271,-0.0256,0.8633,-6.73,7.98,0.0,30.41
