t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
3273,0.2223,-0.0516,0.8888,-6.08,8.98,-0.03,23.94
3283,0.2372,-0.0483,0.8806,-6.12,6.81,-0.05,23.94
3293,0.2131,-0.0469,0.905,-6.09,8.73,-0.05,23.94
3303,0.2384,-0.0438,0.8724,-6.11,8.35,-0.08,23.92
3313,0.2374,-0.0431,0.88,-6.17,6.46,-0.05,23.95
3323,0.2195,-0.0533,0.9044,-6.17,7.27,-0.05,23.91
3333,0.2452,-0.0448,0.8781,-6.11,8.64,-0.11,23.95
3343,0.2465,-0.0486,0.869,-6.15,6.78,-0.08,23.95
3353,0.226,-0.0505,0.8859,-6.17,7.59,-0.02,23.96
3363,0.225,-0.0525,0.8864,-6.24,8.76,0.06,23.94
3373,0.2401,-0.0463,0.8756,-6.14,8.21,-0.09,23.97
3383,0.244,-0.0464,0.8676,-6.15,7.97,0.02,23.95
3393,0.2296,-0.0435,0.8815,-6.15,6.9,-0.09,23.94
3403,0.2322,-0.0433,0.882,-6.12,7.88,-0.11,23.98
3413,0.241,-0.0389,0.8732,-6.14,7.08,-0.03,23.95
3423,0.2412,-0.0386,0.8793,-6.2,7.01,-0.06,23.95
3433,0.2417,-0.0433,0.8805,-6.11,7.4,-0.05,23.94
3443,0.2329,-0.0393,0.8881,-6.18,7.24,-0.06,23.99
3453,0.2285,-0.0443,0.892,-6.11,8.49,-0.06,23.98
3463,0.2382,-0.0408,0.8774,-6.29,8.08,-0.14,23.96
3473,0.2388,-0.0448,0.8854,-6.18,7.56,-0.06,23.97
3484,0.2385,-0.0413,0.8873,-6.18,7.77,-0.08,23.94
3494,0.2347,-0.0424,0.8892,-6.2,8.18,0.0,23.95
3504,0.2396,-0.0493,0.8813,-6.21,8.41,0.02,23.98
3515,0.2498,-0.0503,0.8759,-6.14,7.8,-0.05,23.96
3525,0.2404,-0.0521,0.8771,-6.12,7.05,-0.02,23.99
3535,0.225,-0.0526,0.8978,-6.2,8.24,-0.09,23.96
3545,0.2351,-0.0531,0.887,-6.21,8.73,-0.05,23.96
3555,0.2466,-0.0496,0.8724,-6.11,7.54,-0.08,23.98
3565,0.2471,-0.046,0.8719,-6.12,6.7,-0.05,23.97
3575,0.2212,-0.049,0.8899,-6.15,7.74,-0.06,23.98
3585,0.226,-0.0477,0.8895,-6.12,8.95,0.02,23.96
3595,0.2506,-0.0457,0.8667,-6.18,7.19,-0.06,23.98
3605,0.2362,-0.0457,0.8845,-6.18,6.6,-0.12,23.97
3615,0.226,-0.046,0.8937,-6.21,7.77,-0.11,24.0
3625,0.2175,-0.0543,0.8964,-6.18,8.82,-0.14,23.97
3635,0.2347,-0.0503,0.8859,-6.24,8.73,-0.12,23.99
3645,0.244,-0.046,0.8792,-6.18,7.51,-0.17,23.97
3655,0.2361,-0.0482,0.8846,-6.23,7.44,-0.08,23.96
3665,0.2336,-0.0476,0.884,-6.23,8.18,-0.09,23.96
3675,0.2391,-0.0464,0.8818,-6.12,7.98,-0.11,23.97
3685,0.2388,-0.0521,0.8715,-6.2,7.8,-0.09,23.97
3695,0.2317,-0.0546,0.879,-6.09,8.09,-0.06,23.98
3705,0.2374,-0.0492,0.8738,-6.03,7.66,-0.14,23.99
3715,0.2422,-0.049,0.8586,-6.02,7.21,0.0,23.97
3725,0.2301,-0.0396,0.8726,-6.11,6.69,0.0,23.96
3735,0.234,-0.0355,0.8883,-6.08,8.11,-0.11,23.95
3745,0.2542,-0.0345,0.8823,-6.15,7.18,-0.12,23.97
3755,0.2555,-0.0364,0.8668,-6.32,6.6,-0.03,23.99
3765,0.2131,-0.0481,0.908,-6.23,8.03,0.0,23.98
3775,0.2378,-0.0531,0.8892,-6.21,8.6,-0.03,23.98
3785,0.2384,-0.0549,0.8832,-6.21,7.51,0.02,24.0
3795,0.2278,-0.0557,0.8922,-6.09,8.17,-0.12,23.98
3805,0.2302,-0.0573,0.8795,-6.14,8.5,-0.06,23.99
3815,0.2384,-0.051,0.8644,-6.03,7.51,0.03,23.99
3825,0.2344,-0.0474,0.8729,-6.14,7.13,0.03,23.99
3835,0.2273,-0.0416,0.8832,-6.15,7.73,-0.02,23.97
3845,0.2289,-0.0457,0.8802,-6.23,8.09,-0.06,23.98
3855,0.2395,-0.0472,0.8722,-6.14,7.36,-0.08,24.0
3865,0.2325,-0.0466,0.8794,-6.14,7.24,-0.03,23.99
3875,0.2281,-0.0452,0.8889,-6.15,7.83,-0.08,23.97
3885,0.2333,-0.0454,0.8801,-6.18,8.18,-0.06,24.0
3895,0.2416,-0.0439,0.8767,-6.18,7.57,-0.08,23.98
3905,0.2355,-0.043,0.8914,-6.18,7.48,-0.05,23.99
3915,0.23,-0.0458,0.8942,-6.2,7.74,-0.12,23.97
3925,0.2268,-0.0488,0.8867,-6.18,8.06,-0.08,23.97
3935,0.23,-0.0498,0.8904,-6.27,8.24,-0.06,24.0
3945,0.2426,-0.0507,0.8835,-6.11,7.86,-0.09,23.99
3955,0.2313,-0.0521,0.8934,-6.2,7.5,-0.06,23.99
3965,0.2234,-0.0503,0.8916,-6.08,9.21,-0.05,23.98
3975,0.2571,-0.0507,0.8586,-6.12,7.45,-0.08,23.97
3985,0.2354,-0.049,0.8776,-6.08,6.21,-0.05,23.99
3995,0.2211,-0.0497,0.8934,-6.05,7.28,-0.02,23.99
4005,0.2343,-0.0452,0.8658,-6.17,8.6,-0.05,23.98
4015,0.2356,-0.0404,0.8707,-6.17,7.21,-0.02,24.0
4025,0.2303,-0.0348,0.88,-6.26,7.4,-0.02,23.97
4035,0.2389,-0.0354,0.8784,-6.15,7.34,-0.15,23.98
4045,0.2378,-0.0336,0.8989,-6.2,6.79,-0.15,24.01
4055,0.2239,-0.0404,0.9166,-6.29,8.34,-0.09,23.99
4065,0.2354,-0.0533,0.8951,-6.24,9.37,-0.14,23.98
4075,0.2465,-0.053,0.8827,-6.14,8.78,-0.05,23.99
4085,0.2323,-0.0597,0.8757,-6.03,6.63,-0.12,23.97
4095,0.2305,-0.0614,0.8728,-6.09,7.56,-0.03,23.97
4105,0.2242,-0.0538,0.87,-6.06,8.0,0.0,23.98
4115,0.2291,-0.0433,0.871,-6.08,8.05,0.0,24.0
4125,0.2433,-0.0308,0.8619,-6.14,7.97,-0.03,24.01
4135,0.2579,-0.03,0.8623,-6.24,5.69,-0.06,23.98
4145,0.2185,-0.0334,0.9113,-6.27,7.01,-0.03,24.01
4155,0.2198,-0.045,0.917,-6.26,10.5,-0.05,24.01
4165,0.2599,-0.0519,0.868,-6.27,7.8,-0.12,24.01
4175,0.2362,-0.0569,0.8955,-6.17,7.37,-0.12,24.0
4185,0.2335,-0.0585,0.8823,-6.11,8.31,-0.09,24.0
4195,0.2356,-0.0562,0.8706,-6.09,8.29,-0.03,24.0
4205,0.2377,-0.0497,0.864,-6.05,7.42,-0.08,24.0
4215,0.229,-0.0455,0.8643,-6.06,6.93,-0.12,23.99
4225,0.217,-0.04,0.8879,-6.12,8.37,-0.12,23.98
4235,0.2479,-0.0376,0.8661,-6.06,7.85,-0.09,23.99
4245,0.2516,-0.0398,0.8718,-6.21,5.5,-0.08,23.99
4255,0.2084,-0.0475,0.9103,-6.21,7.82,-0.06,23.99
4265,0.2291,-0.047,0.9023,-6.24,8.9,0.0,24.0
4275,0.2338,-0.0442,0.8989,-6.26,8.41,-0.09,23.99
4285,0.2396,-0.0509,0.8938,-6.23,8.92,0.03,24.0
4295,0.2433,-0.0525,0.8763,-6.17,7.5,-0.06,23.99
4305,0.2391,-0.0535,0.8723,-6.11,7.63,-0.09,24.02
4315,0.2385,-0.0488,0.8668,-6.15,7.25,-0.08,23.99
4325,0.212,-0.0421,0.8911,-6.2,8.92,-0.08,24.0
4335,0.2448,-0.0413,0.858,-6.12,8.35,0.0,23.99
4345,0.2444,-0.0355,0.8706,-6.2,6.26,-0.08,23.98
